"","Department","Physical","Bio","Food","Sports.Science","Day","Starting.Time","Ending.Time","Number.of.Credits","Course.Title","Course.Code","Subject.Code","Course","Academic.Year","Location","Lecture.Type","General","Special","Semester.Half","Lecturer in Charge"
"28","Forestry and Environmental Science",0,1,0,0,"Monday","13:00:00","15:00:00",1,"Ecotourism Planning and Management","EMF 330 1.0","EMF","EMF 330 1.0 Ecotourism Planning and Management",3,"F1","Lecture",1,1,1,"Prof. Priyan Perera"
"29","Forestry and Environmental Science",0,1,0,0,"Monday","13:00:00","15:00:00",1,"Ecotourism Planning and Management","EMF 330 1.0","EMF","EMF 330 1.0 Ecotourism Planning and Management",3,"F1","Lecture",1,1,1,NA
"30","Forestry and Environmental Science",0,1,0,0,"Monday","13:00:00","15:00:00",1,"Ecotourism Planning and Management","EMF 330 1.0","EMF","EMF 330 1.0 Ecotourism Planning and Management",3,"F1","Lecture",1,1,1,NA
"31","Forestry and Environmental Science",0,1,0,0,"Monday","13:00:00","15:00:00",1,"Project Planning and Analysis","EMF 331 1.0","EMF","EMF 331 1.0 Project Planning and Analysis",3,"F1","Lecture",1,1,2,"Prof. Prasanthi Gunawardena"
"32","Forestry and Environmental Science",0,1,0,0,"Monday","13:00:00","15:00:00",1,"Project Planning and Analysis","EMF 331 1.0","EMF","EMF 331 1.0 Project Planning and Analysis",3,"F1","Lecture",1,1,2,NA
"33","Forestry and Environmental Science",0,1,0,0,"Monday","13:00:00","15:00:00",1,"Project Planning and Analysis","EMF 331 1.0","EMF","EMF 331 1.0 Project Planning and Analysis",3,"F1","Lecture",1,1,2,NA
"34","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Integrated Resource Management","EMF 370 1.0","EMF","EMF 370 1.0 Integrated Resource Management",3,"F1","Lecture",1,1,1,"Prof. Prasanthi Gunawardena"
"35","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Integrated Resource Management","EMF 370 1.0","EMF","EMF 370 1.0 Integrated Resource Management",3,"F1","Lecture",1,1,1,NA
"36","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Integrated Resource Management","EMF 370 1.0","EMF","EMF 370 1.0 Integrated Resource Management",3,"F1","Lecture",1,1,1,NA
"37","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Forest Management","EMF 307 1.0","EMF","EMF 307 1.0 Forest Management",3,"F2","Lecture",1,1,2,"Prof. Upul Subasinghe"
