Index,Department,Physical,Bio,Food,Sports.Science,Day,Starting.Time,Ending.Time,Number.of.Credits,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,General,Special,Semester.Half,Lecturer.in.charge,Lecture.Time
61,Forestry and Environmental Science,0,1,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Cleaner Production and Green Technology,EMF 369 1.0,EMF,EMF 369 1.0 Cleaner Production and Green Technology,3,F1,Lecture,0,1,2,Dr. Chaamila Pathirana,13:00-15:00
64,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,1,Indigenous Knowledge in Natural Resource Management,EMF 361 1.0,EMF,EMF 361 1.0 Indigenous Knowledge in Natural Resource Management,3,SP - Forestry,Lecture,0,1,1,Prof. Danister Perera,08:00-09:45
67,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,1,Green Business Development,EMF 362 1.0,EMF,EMF 362 1.0 Green Business Development,3,SP - Forestry,Lecture,0,1,2,Snr. Prof. Rohini Samarasinghe,08:00-09:45
70,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,1,Advanced Silviculture,EMF 358 1.0,EMF,EMF 358 1.0 Advanced Silviculture,3,F1,Lecture,0,1,1,Ms. Nileththi Shilpa,10:15-12:00
73,Forestry and Environmental Science,0,1,0,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Forestry for Rural Development,EMF 459 1.0,EMF,EMF 459 1.0 Forestry for Rural Development,4,SP - Forestry,Lecture,0,1,1,Ms. Nileththi Shilpa,13:00-15:00
76,Forestry and Environmental Science,0,1,0,0,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,1,Wood Based Composites,EMF 458 1.0,EMF,EMF 458 1.0 Wood Based Composites,4,SP - Forestry,Lecture,0,1,1,Prof. Hiran Amarasekera,10:15-12:00
79,Forestry and Environmental Science,0,1,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Land Reclamation and Soil Remediation,EMF 472 1.0,EMF,EMF 472 1.0 Land Reclamation and Soil Remediation,4,SP - Forestry,Lecture,0,1,1,Dr. Daham Jayawardana,13:00-15:00
82,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Assignment on Forest Management Plan Preparation,EMF 454 2.0,EMF,EMF 454 2.0 Assignment on Forest Management Plan Preparation,4,SP - Forestry,Lecture,0,1,1,Prof. Upul Subasinghe,10:15-12:00
85,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Energy and Environment,EMF 471 1.0,EMF,EMF 471 1.0 Energy and Environment,4,SP - Forestry,Lecture,0,1,1,Dr. Daham Jayawardana,13:00-15:00
88,Forestry and Environmental Science,1,0,0,0,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Environmental Economics,ECN 104 2.0,ECN,ECN 104 2.0 Environmental Economics,1,BLT,Lecture,1,0,1,Prof. B W R Damayanthi / Dr. J M M Udugama,10:15-12:00
91,Forestry and Environmental Science,1,0,0,0,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,3,Principles of Macroeconomics,ECN 103 3.0,ECN,ECN 103 3.0 Principles of Macroeconomics,1,F3,Lecture,1,0,1,Mr. Anura Jayasinghe,08:00-09:45
94,Forestry and Environmental Science,1,0,0,0,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,3,Intermediate Macroeconomics,ECN 203 3.0,ECN,ECN 203 3.0 Intermediate Macroeconomics,2,F1,Lecture,1,0,1,Prof. B W R Damayanthi,10:15-12:00
97,Forestry and Environmental Science,1,0,0,0,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,3,Intermediate Macroeconomics,ECN 203 3.1,ECN,ECN 203 3.1 Intermediate Macroeconomics,2,F2,Lecture,1,0,1,Prof. B W R Damayanthi,08:00-09:45
100,Forestry and Environmental Science,1,0,0,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,3,Advanced Resource Economics,ECN 204 3.0,ECN,ECN 204 3.0 Advanced Resource Economics,2,F3,Lecture,1,0,1,Prof. U A D P Gunawardena,13:00-15:00
103,Forestry and Environmental Science,1,0,0,0,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Advanced Resource Economics,ECN 303 2.0,ECN,ECN 303 2.0 Advanced Resource Economics,3,F1,Lecture,1,0,1,Ms. K D De S Jayasekara,08:00-09:45
106,Forestry and Environmental Science,1,0,0,0,Wednesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,2,Project Planning and Analysis,ECN 304 2.0,ECN,ECN 304 2.0 Project Planning and Analysis,3,F1,Lecture,1,0,1,Prof. U A D P Gunawardena / Dr. Chandarasekara,15:00-17:00
109,Forestry and Environmental Science,1,0,0,0,Friday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,1,Health Economics,ECN 305 1.0,ECN,ECN 305 1.0 Health Economics,3,F3,Lecture,1,0,1,Ms. C T Jayaratne,08:00-08:50
112,Food Science and Tech,0,0,1,0,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,1,Principles of Organic Chemistry,FST 167 1.0,FST,FST 167 1.0 Principles of Organic Chemistry,1,S1,Lecture,0,1,1,Dr. Laksiri Weerasinghe,08:00-08:50
115,Food Science and Tech,0,0,1,0,Monday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Introduction To Animal Based Food products,FST 170 1.0,FST,FST 170 1.0 Introduction To Animal Based Food products,1,NFC5,Lecture,0,1,1,Prof. I. Wickramasinghe,10:15-11:05
118,Food Science and Tech,0,1,0,0,Monday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,2,Introduction To Animal Based Food products,FSC 122 2.0,FSC,FSC 122 2.0 Introduction To Animal Based Food products,1,NFC5,Lecture,1,0,1,Prof. I. Wickramasinghe,10:15-11:05
121,Food Science and Tech,0,0,1,0,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Introduction To Crop Based Food Products,FST 175 1.0,FST,FST 175 1.0 Introduction To Crop Based Food Products,1,NFC5,Lecture,0,1,1,Dr. Madhura Jayasinghe,11:10-12:00
124,Food Science and Tech,0,1,0,0,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,2,Introduction To Crop Based Food Products,FSC 122 2.0,FSC,FSC 122 2.0 Introduction To Crop Based Food Products,1,NFC5,Lecture,1,0,1,Dr. Madhura Jayasinghe,11:10-12:00
127,Food Science and Tech,0,0,1,0,Monday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,1,Chemistry of Living system,FST 163 1.0,FST,FST 163 1.0 Chemistry of Living system,1,NFC5,Lecture,0,1,1,Prof. Jagath Wansapala,15:00-16:00
130,Food Science and Tech,0,1,0,0,Monday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,1,Basics of Biochemistry,FSC 131 1.0,FSC,FSC 131 1.0 Basics of Biochemistry,1,NFC5,Lecture,1,0,1,Prof. Jagath Wansapala,15:00-16:00
133,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,2,Introduction to Analytical Chemistry,FST 164 2.0,FST,FST 164 2.0 Introduction to Analytical Chemistry,1,S1,Lecture,0,1,1,Dr. Asitha Cooray,08:00-08:50
136,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Principles of Physics II,FST 180 1.0,FST,FST 180 1.0 Principles of Physics II,1,NFC2,Lecture,0,1,1,Mr. Chehan Yapa,11:10-12:00
139,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,1,Applied Human Nutrition,FST 169 1.0,FST,FST 169 1.0 Applied Human Nutrition,1,NFC2,Lecture,0,1,1,Dr. Madhura Jayasinghe,13:00-14:00
142,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,1,Organizational Behavior,FST 158 1.0,FST,FST 158 1.0 Organizational Behavior,1,NFC2,Lecture,0,1,1,Dr. Dulani Somendrika,14:00-15:00
145,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,1,Chemical Thermodynamics,FST 165 1.0,FST,FST 165 1.0 Chemical Thermodynamics,1,S1,Lecture,0,1,1,Not Stated,16:00-17:00
148,Food Science and Tech,0,0,1,0,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Food Microbiology,FST 187 2.0,FST,FST 187 2.0 Food Microbiology,1,NFC2,Lecture,0,1,1,Prof. R.A.U.J. Marapana,10:15-12:00
151,Food Science and Tech,0,1,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,1,Food Business Management II,FSC 112 1.0,FSC,FSC 112 1.0 Food Business Management II,1,NFC2,Lecture,1,0,1,Dr. Piumi Abeysundara,13:00-14:00
154,Food Science and Tech,0,0,1,0,Wednesday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,1,Business Economics,FST 159 1.0,FST,FST 159 1.0 Business Economics,1,NFC2,Lecture,0,1,1,VL,14:00-15:00
157,Food Science and Tech,0,0,1,0,Thursday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,NA,Practicals,FST P,FST,FST P Practicals,1,P,Practicals,0,1,1,NA,08:55-16:00
160,Food Science and Tech,0,0,1,0,Monday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,1,Post Harvest Management of Animal Commodities,FST 267 1.0,FST,FST 267 1.0 Post Harvest Management of Animal Commodities,2,NFC5,Lecture,0,1,1,Prof. I. Wickramasinghe,08:55-09:45
163,Food Science and Tech,0,0,1,0,Monday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,1,Dietetics I,FST 268 1.0,FST,FST 268 1.0 Dietetics I,2,NFC5,Lecture,0,1,1,Dr. Madhura Jayasinghe,13:00-14:00
166,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T08:55:00Z,1970-01-01T15:00:00Z,NA,Practicals,FST P,FST,FST P Practicals,2,P,Practicals,0,1,1,NA,08:55-15:00
169,Food Science and Tech,0,0,1,0,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Statistics for Food Science I,FST 251 2.0,FST,FST 251 2.0 Statistics for Food Science I,2,NFC5,Lecture,0,1,1,Ms. Asha Mallikarachchi,08:00-09:45
172,Food Science and Tech,0,0,1,0,Wednesday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Organic Spectros copy,FST 261 1.0,FST,FST 261 1.0 Organic Spectros copy,2,S1,Lecture,0,1,1,Dr. Upul Kumarasinghe,10:15-11:05
175,Food Science and Tech,0,0,1,0,Wednesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Electrochemistry,FST 262 1.0,FST,FST 262 1.0 Electrochemistry,2,S1,Lecture,0,1,1,Dr. Tharindu Senapathi,11:10-12:00
178,Food Science and Tech,0,0,1,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,2,Unit Operation In Food Processing,FST 280 2.0,FST,FST 280 2.0 Unit Operation In Food Processing,2,NFC5,Lecture,0,1,1,VL,13:00-15:00
181,Food Science and Tech,0,0,1,0,Thursday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,1,Bakery Science,FST 292 1.0,FST,FST 292 1.0 Bakery Science,2,NFC5,Lecture,0,1,1,Dr. Suraji Senanayake,08:55-09:45
184,Food Science and Tech,0,1,0,0,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Food Business Management II,FSC 211 1.0,FSC,FSC 211 1.0 Food Business Management II,2,NFC2,Lecture,1,0,1,Dr. Dulani Somendrika,10:15-11:05
187,Food Science and Tech,0,0,1,0,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Post Harvest Management of Plant Commodities,FST 266 1.0,FST,FST 266 1.0 Post Harvest Management of Plant Commodities,2,NFC5,Lecture,0,1,1,Dr. Dulani Somendrika,11:10-12:00
190,Food Science and Tech,0,1,0,0,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Post Harvest Management,FSC 252 1.0,FSC,FSC 252 1.0 Post Harvest Management,2,NFC5,Lecture,1,0,1,Dr. Dulani Somendrika,11:10-12:00
193,Food Science and Tech,0,0,1,0,Thursday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,2,Chemical Kinetics,FST 264 2.0,FST,FST 264 2.0 Chemical Kinetics,2,S1,Lecture,0,1,1,Dr. S Rajapaksha,14:00-15:00
196,Food Science and Tech,0,0,1,0,Thursday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,1,Food Packaging,FST 282 1.0,FST,FST 282 1.0 Food Packaging,2,NFC5,Lecture,0,1,1,Dr. Chathuni Jayathilaka,15:00-16:00
199,Food Science and Tech,0,0,1,0,Friday,1970-01-01T08:55:00Z,1970-01-01T11:05:00Z,2,Food Chemistry,FST 290 2.0,FST,FST 290 2.0 Food Chemistry,2,NFC5,Lecture,0,1,1,Prof. Jagath Wansapala,08:55-11:05
202,Food Science and Tech,0,1,0,0,Friday,1970-01-01T08:55:00Z,1970-01-01T11:05:00Z,2,Food Chemistry,FSC 231 2.0,FSC,FSC 231 2.0 Food Chemistry,2,NFC5,Lecture,1,0,1,Prof. Jagath Wansapala,08:55-11:05
205,Food Science and Tech,0,0,1,0,Friday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,1,"Basic Management, Accounting and Finance",FST 298 1.0,FST,"FST 298 1.0 Basic Management, Accounting and Finance",2,NFC5,Lecture,0,1,1,VL,13:00-14:00
208,Food Science and Tech,0,0,1,0,Monday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Regression Analysis,FST 366 2.0,FST,FST 366 2.0 Regression Analysis,3,NFC2,Lecture,0,1,1,Ms. Asha Mallikarachchi,08:00-09:45
211,Food Science and Tech,0,0,1,0,Monday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Project Management,FST 367 1.0,FST,FST 367 1.0  Project Management,3,NFC2,Lecture,0,1,1,Prof. Jagath Jayasinghe,10:15-11:05
214,Food Science and Tech,0,0,1,0,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,2,Sustainability and Circular Economy,FST 359 1.0,FST,FST 359 1.0 Sustainability and Circular Economy,3,NFC2,Lecture,0,1,1,Dr. Dulani Somendrika,11:10-12:00
217,Food Science and Tech,0,0,1,0,Monday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,1,"Spices, Root Crops",FST 386 1.0,FST,"FST 386 1.0 Spices, Root Crops",3,NFC5,Lecture,0,1,1,Dr. Dulani Somendrika,14:00-15:00
220,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,1,Grain Technology,FST 383 1.0,FST,FST 383 1.0 Grain Technology,3,NFC5,Lecture,0,1,1,Dr. Suraji Senanayake,08:55-09:45
223,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Fish & Meat Process Technology,FST 374 1.0,FST,FST 374 1.0 Fish & Meat Process Technology,3,NFC5,Lecture,0,1,1,Prof. I. Wickramasinghe,10:15-11:05
226,Food Science and Tech,0,1,0,0,Tuesday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Fish & Meat Process Technology,FSC 371 1.0,FSC,FSC 371 1.0 Fish & Meat Process Technology,3,NFC5,Lecture,1,0,1,Prof. I. Wickramasinghe,10:15-11:05
229,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Dairy Process Technology,FST 399 1.0,FST,FST 399 1.0 Dairy Process Technology,3,NFC5,Lecture,0,1,1,Prof. R.A.U.J. Marapana,11:10-12:00
232,Food Science and Tech,0,1,0,0,Tuesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Dairy Technology,FSC 372 1.0,FSC,FSC 372 1.0 Dairy Technology,3,NFC5,Lecture,1,0,1,Prof. R.A.U.J. Marapana,11:10-12:00
235,Food Science and Tech,0,0,1,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,1,Fat and Oil Technology,FST 387 1.0,FST,FST 387 1.0 Fat and Oil Technology,3,NFC2,Lecture,0,1,1,Dr. Piumi Abeysundara,13:00-14:00
238,Food Science and Tech,0,1,0,0,Tuesday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,1,Seminar,FSC 395 1.0,FSC,FSC 395 1.0 Seminar,3,NFC2,Lecture,1,0,1,Dr. Isuru Wijesekara,14:00-15:00
241,Food Science and Tech,0,0,1,0,Wednesday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,NA,Practicals,FST P,FST,FST P Practicals,3,P,Practicals,0,1,1,NA,08:55-16:00
244,Food Science and Tech,0,0,1,0,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Emerging Food Technology,FST 368 2.0,FST,FST 368 2.0 Emerging Food Technology,3,NFC2,Lecture,0,1,1,Senior Prof. K.K.D.S. Ranaweera,08:00-09:45
247,Food Science and Tech,0,0,1,0,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Fruit & Vegetable Process & Technology,FST 384 1.0,FST,FST 384 1.0 Fruit & Vegetable Process & Technology,3,NFC5,Lecture,0,1,1,Prof. R.A.U.J. Marapana,10:15-11:05
250,Food Science and Tech,0,1,0,0,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Fruit & Vegetable Process & Technology,FSC 373 1.0,FSC,FSC 373 1.0 Fruit & Vegetable Process & Technology,3,NFC5,Lecture,1,0,1,Prof. R.A.U.J. Marapana,10:15-11:05
253,Food Science and Tech,0,0,1,0,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,2,Social Mobilization,FST 380 2.0,FST,FST 380 2.0 Social Mobilization,3,NFC2,Lecture,0,1,1,Prof. Jagath Jayasinghe,11:10-12:00
256,Food Science and Tech,0,0,1,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,1,Food Biotechnology,FSC 362 1.0,FSC,FSC 362 1.0 Food Biotechnology,3,NFC5,Lecture,1,0,1,Senior Prof. K.K.D.S. Ranaweera,13:00-14:00
259,Food Science and Tech,0,1,0,0,Thursday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,1,Food Packaging,FSC 353 1.0,FSC,FSC 353 1.0 Food Packaging,3,NFC5,Lecture,1,0,1,Dr. Chathuni Jayathilaka,15:00-16:00
262,Food Science and Tech,0,0,1,0,Friday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Sensory Analysis,FST 362 1.0,FST,FST 362 1.0 Sensory Analysis,3,NFC5,Lecture,0,1,1,Dr. Chathuni Jayathilaka,11:10-12:00
265,Food Science and Tech,0,0,1,0,Friday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,1,Mechanical Aspects of Food Technology,FST 391 1.0,FST,FST 391 1.0 Mechanical Aspects of Food Technology,3,NFC5,Lecture,0,1,1,VL,15:00-16:00
268,Food Science and Tech,0,0,1,0,Friday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,1,Introduction to Multivariate Statistics,FST 452 1.0,FST,FST 452 1.0 Introduction to Multivariate Statistics,4,NFC2,Lecture,0,1,1,Ms. Asha Mallikarachchi,08:00-08:50
271,Food Science and Tech,0,0,1,0,Friday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,1,Nano Technology in Food System,FST 482 1.0,FST,FST 482 1.0 Nano Technology in Food System,4,NFC2,Lecture,0,1,1,VL,08:55-09:45
274,Food Science and Tech,0,0,1,0,Friday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,1,Career Skills Development,FST 457 1.0,FST,FST 457 1.0 Career Skills Development,4,NFC2,Lecture,0,1,1,VL,10:15-12:00
277,Food Science and Tech,0,0,1,0,Friday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,1,Industrial Microbiology,FST 481 1.0,FST,FST 481 1.0 Industrial Microbiology,4,NFC2,Lecture,0,1,1,Dr. Piumi Abeysundara,13:00-14:00
280,Food Science and Tech,0,0,1,0,Friday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,1,Strategic Management,FST 458 1.0,FST,FST 458 1.0 Strategic Management,4,NFC2,Lecture,0,1,1,Prof. Jagath Jayasinghe,14:00-15:00
283,Computer Science,1,0,0,0,Monday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Software Engineering II,CSC 112 2.0,CSC,CSC 112 2.0 Software Engineering II,1,NFC3,Lecture,1,0,1,Dr. EATA Edirisuriya,08:00-09:45
286,Computer Science,1,0,0,0,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,1,Computer Programming - Laboratory,CSC 111 1.0,CSC,CSC 111 1.0 Computer Programming - Laboratory,1,NFC3,Lecture,1,0,1,Mr. AMRR Bandara / Ms. FS Sourjah,08:00-09:45
289,Computer Science,1,0,0,0,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Object Oriented Programming,CSC 110 2.0,CSC,CSC 110 2.0  Object Oriented Programming,1,NFC3,Lecture,1,0,1,Dr. TMKK Jinasena,10:15-12:00
292,Computer Science,1,0,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,NA,Practicals,CSC P,CSC,CSC P Practicals,1,P,Practicals,1,0,1,NA,13:00-15:00
295,Computer Science,1,0,0,0,Thursday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,NA,Tutorial,CSC T,CSC,CSC T Tutorial,1,T,Tutorial,1,0,1,NA,08:00-08:50
298,Computer Science,1,0,0,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,NA,Practicals,CSC P,CSC,CSC P Practicals,1,P,Practicals,1,0,1,NA,13:00-15:00
301,Computer Science,1,0,0,0,Friday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,NA,Practicals,CSC P,CSC,CSC P Practicals,1,P,Practicals,1,0,1,NA,10:15-12:00
304,Computer Science,1,0,0,0,Monday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Database Management Systems,CSC 209 2.0,CSC,CSC 209 2.0 Database Management Systems,2,NFC3,Lecture,1,0,1,Dr. S Tissera,10:15-12:00
307,Computer Science,1,0,0,0,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,1,Computer Graphics,CSC 210 1.0,CSC,CSC 210 1.0 Computer Graphics,2,NFC4,Lecture,1,0,1,Prof. RGN Meegama,08:00-09:45
310,Computer Science,1,0,0,0,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Operating Systems,CSC 208 2.0,CSC,CSC 208 2.0  Operating Systems,2,NFC4,Lecture,1,0,1,Mr. MDR Perera,10:15-12:00
313,Computer Science,1,0,0,0,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,NA,Practicals,CSC P,CSC,CSC P Practicals,2,P,Practicals,1,0,1,NA,10:15-12:00
316,Computer Science,1,0,0,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,NA,Tutorial,CSC T,CSC,CSC T Tutorial,2,T,Tutorial,1,0,1,NA,13:00-15:00
319,Computer Science,1,0,0,0,Monday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Operations Research,CSC 355 2.0,CSC,CSC 355 2.0 Operations Research,3,Stat Lab,Lecture,0,1,1,Mr. DDA Gamini,08:00-09:45
322,Computer Science,1,0,0,0,Monday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1.5,Net Centric Computing,CSC 315 1.5,CSC,CSC 315 1.5 Net Centric Computing,3,NFC4,Lecture,1,1,1,Prof. RGN Meegama,13:00-15:00
325,Computer Science,1,0,0,0,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Software Quality Assurance,CSC 365 2.0,CSC,CSC 365 2.0 Software Quality Assurance,3,PLT,Lecture,1,1,1,Dr. EATA Edirisuriya,08:00-09:45
328,Computer Science,1,0,0,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,2,Swarm Intelligence,CSC 361 2.0,CSC,CSC 361 2.0 Swarm Intelligence,3,NFC4,Lecture,1,1,1,Ms. MKA Ariyaratne,13:00-15:00
331,Computer Science,1,0,0,0,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Artificial Intelligence,CSC 316 2.0,CSC,CSC 316 2.0 Artificial Intelligence,3,NFC3,Lecture,1,1,1,Mr. DDA Gamini,08:00-09:45
334,Computer Science,1,0,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1.5,Human Computer Interaction,CSC 317 1.5,CSC,CSC 317 1.5 Human Computer Interaction,3,NFC3,Lecture,1,1,1,Dr. PRS De Silva,13:00-15:00
337,Computer Science,1,0,0,0,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,NA,Practicals,CSC P,CSC,CSC P Practicals,3,P,Practicals,1,0,1,NA,08:00-09:45
340,Computer Science,1,0,0,0,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Theory of Programming Languages,CSC 377 2.0,CSC,CSC 377 2.0  Theory of Programming Languages,3,NFC3,Lecture,0,1,1,Ms. MKA Ariyaratne,08:00-09:45
343,Computer Science,1,0,0,0,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Machine Learning II,CSC 375 2.0,CSC,CSC 375 2.0  Machine Learning II,3,LCS2,Lecture,0,1,1,Prof. TGI Fernando,10:15-12:00
346,Computer Science,1,0,0,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1.5,Embedded Systems and Internet of Things,CSC 376 1.5,CSC,CSC 376 1.5 Embedded Systems and Internet of Things,3,LCS2,Lecture,0,1,1,Mr. MDR Perera,13:00-15:00
349,Botany,0,1,0,0,Monday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,NA,Practicals,MBL P,MBL,MBL P Practicals,1,P,Practicals,1,0,1,NA,08:55-12:00
352,Botany,0,1,0,0,Monday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,NA,Practicals,PBT P,PBT,PBT P Practicals,1,P,Practicals,1,0,1,NA,13:00-16:00
355,Botany,0,1,0,0,Monday,1970-01-01T14:00:00Z,1970-01-01T16:00:00Z,NA,Practicals,PBL P,PBL,PBL P Practicals,1,P,Practicals,1,0,1,NA,14:00-16:00
358,Botany,0,1,0,0,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,1,Classical Genetics,PBT/PBL/MBL 126 1.0,PBT/PBL/MBL,PBT/PBL/MBL 126 1.0 Classical Genetics,1,B1,Lecture,1,0,1,Prof. P.N.Dasanayake,10:15-12:00
361,Botany,0,1,0,0,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,1,Principles of Ecology,PBT/PBL/MBL 123 1.0,PBT/PBL/MBL,PBT/PBL/MBL 123 1.0 Principles of Ecology,1,B1,Lecture,1,0,2,Dr. M.L.A.M.S. Munasinghe,10:15-12:00
