Index,Department,Physical,Bio,Food,Sports.Science,Day,Starting.Time,Ending.Time,Number.of.Credits,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,General,Special,Semester.Half,Lecturer.in.charge,Lecture.Time
1519,Mathematics,1,0,0,0,Tuesday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,2,Seminar and Report Writing,AMT 355 2.0,AMT,AMT 355 2.0 Seminar and Report Writing,3,M1,Lecture,0,1,1,Prof. K. B. M. Fonseka,08:55-12:00
1522,Mathematics,1,0,0,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,2,Data Analysis and Preparation of Reports,AMT 378 2.0,AMT,AMT 378 2.0 Data Analysis and Preparation of Reports,3,M2,Lecture,0,1,1,Mr. Jayasooriya,13:00-15:00
1525,Mathematics,1,0,0,0,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Statistical Quality Control,AMT 390 2.0,AMT,AMT 390 2.0 Statistical Quality Control,3,M1,Lecture,0,1,1,Dr. M. T. M. Perera,08:00-09:45
1528,Mathematics,1,0,0,0,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Quantum Mechanics,AMT 322 2.0,AMT,AMT 322 2.0 Quantum Mechanics,3,PLT,Lecture,0,1,1,Mrs. D. S. Rodrigo,10:15-12:00
1531,Mathematics,1,0,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,2,Computational Statistics,AMT 377 2.0,AMT,AMT 377 2.0 Computational Statistics,3,SRL - Mathematics,Lecture,0,1,1,Dr. C. Wickramarachchi / Mr. Chammika De Mel,13:00-15:00
1534,Mathematics,1,0,0,0,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Mathematical Modeling II,AMT 321 2.0,AMT,AMT 321 2.0 Mathematical Modeling II,3,M2,Lecture,0,1,1,Prof. R. P. K. C. M. Ranasinghe,10:15-12:00
1537,Mathematics,1,0,0,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,1,Operations Research I,AMT 323 1.0,AMT,AMT 323 1.0 Operations Research I,3,PLT,Lecture,0,1,1,Dr. M. T. M. Perera,13:00-14:00
1540,Mathematics,1,0,0,0,Thursday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,1,Production Control,AMT 326 1.0,AMT,AMT 326 1.0 Production Control,3,M1,Lecture,0,1,2,Dr. M. T. M. Perera,14:00-15:00
1543,Mathematics,1,0,0,0,Friday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Regression Analysis,AMT 325 2.0,AMT,AMT 325 2.0 Regression Analysis,3,M2,Lecture,0,1,1,Mr. Chammika De Mel,10:15-12:00
1546,Mathematics,1,0,0,0,Friday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,2,Seminar and Report Writing,AMT 355 2.0,AMT,AMT 355 2.0 Seminar and Report Writing,3,M1,Lecture,0,1,1,Prof. K. B. M. Fonseka,13:00-16:00
1549,Physics,1,1,0,0,Monday,1970-01-01T14:00:00Z,1970-01-01T16:00:00Z,2,Thermodynamics,PHY 108 2.0,PHY,PHY 108 2.0 Thermodynamics,1,PLT,Lecture,1,0,1,Prof. A.R. Kumarasinghe,14:00-16:00
1552,Physics,1,1,0,0,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Applied Electricity and Basic Electronics,PHY 107 2.0,PHY,PHY 107 2.0 Applied Electricity and Basic Electronics,1,S1,Lecture,1,0,1,Mr. C.H. Manathunga,10:15-12:00
1555,Physics,1,1,0,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,2,Practicals,PHY P,PHY,PHY P Practicals,1,P,Practicals,1,0,1,NA,13:00-16:00
1558,Physics,1,1,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,2,Practicals,PHY P,PHY,PHY P Practicals,1,P,Practicals,1,0,1,NA,13:00-16:00
1561,Physics,1,1,0,0,Wednesday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,2,Mathematics for Bio Science Students,PHY 102 2.0,PHY,PHY 102 2.0 Mathematics for Bio Science Students,1,L2,Lecture,1,0,1,Dr. Gaya Jayakody,16:00-17:00
1564,Physics,1,1,0,0,Thursday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,NA,Tutorial,PHY T,PHY,PHY T  Tutorial,1,PLT,Tutorial,1,0,1,NA,08:55-09:45
1567,Physics,1,1,0,0,Thursday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,2,Mathematics for Bio Science Students,PHY 102 2.1,PHY,PHY 102 2.1 Mathematics for Bio Science Students,1,L2,Lecture,1,0,1,Dr. Gaya Jayakody,16:00-17:00
1570,Physics,1,1,0,0,Friday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,2,Practicals,PHY P,PHY,PHY P Practicals,1,P,Practicals,1,0,1,NA,08:55-12:00
1573,Physics,1,1,0,0,Friday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,2,Practicals,PHY P,PHY,PHY P Practicals,1,P,Practicals,1,0,1,NA,13:00-16:00
1576,Physics,1,1,0,0,Monday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,1,Practicals,PHY P,PHY,PHY P Practicals,2,P,Practicals,1,0,1,NA,13:00-16:00
1582,Physics,1,1,0,0,Monday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,NA,Tutorial,PHY T,PHY,PHY T  Tutorial,2,PLT,Tutorial,1,0,1,NA,16:00-17:00
1585,Physics,1,1,0,0,Tuesday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Mathematical Physics I,PHY 206 1.0,PHY,PHY 206 1.0 Mathematical Physics I,2,PLT,Lecture,1,0,1,Prof. N.G.S.S. Gamage,10:15-11:05
1588,Physics,1,1,0,0,Tuesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Special Theory of Relativity,PHY 207 1.0,PHY,PHY 207 1.0 Special Theory of Relativity,2,PLT,Lecture,1,0,1,Dr. M.M.P.M. Fernando,11:10-12:00
1591,Physics,1,1,0,0,Wednesday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,1,Practicals,PHY P,PHY,PHY P Practicals,2,P,Practicals,1,0,1,NA,08:55-12:00
1597,Physics,1,1,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,1,Practicals,PHY P,PHY,PHY P Practicals,2,P,Practicals,1,0,1,NA,13:00-16:00
1603,Physics,1,1,0,0,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,1,Atomic & Nuclear Physics,PHY 208 1.0,PHY,PHY 208 1.0 Atomic & Nuclear Physics,2,PLT,Lecture,1,0,1,Dr. MLC Attygalle,10:15-11:05
1606,Physics,1,1,0,0,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Statistical Physics I,PHY 205 1.0,PHY,PHY 205 1.0 Statistical Physics I,2,PLT,Lecture,1,0,1,Dr. W.W.P. De Silva,11:10-12:00
1609,Physics,1,1,0,0,Friday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,1,Practicals,PHY P,PHY,PHY P Practicals,2,P,Practicals,1,0,1,NA,13:00-16:00
1615,Physics,1,1,0,0,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,1,Introduction to Microprocessors,PHY 309 1.0,PHY,PHY 309 1.0 Introduction to Microprocessors,3,PLT,Lecture,1,1,1,Mr. R.A.D.D. Dharmasiri,08:00-08:50
1618,Physics,1,1,0,0,Monday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,1,Space Physics I,PHY 310 1.0,PHY,PHY 310 1.0 Space Physics I,3,PLT,Lecture,1,1,1,Dr. M.M.P.M. Fernando,08:55-09:45
1621,Physics,1,1,0,0,Monday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,1,Practicals,PHY P,PHY,PHY P Practicals,3,P,Practicals,1,1,1,NA,13:00-16:00
1627,Physics,1,1,0,0,Tuesday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,1,Nanophysics,PHY 318 1.0,PHY,PHY 318 1.0 Nanophysics,3,PLT,Lecture,1,1,1,Prof. A.R. Kumarasinghe,08:55-09:45
1630,Physics,1,1,0,0,Tuesday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,1,Astronomy,PHY 314 1.0,PHY,PHY 314 1.0 Astronomy,3,PLT,Lecture,1,1,1,Dr. CR Munasinghe,15:00-16:00
1633,Physics,1,1,0,0,Tuesday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,1,Industrial Physics,PHY 312 1.0,PHY,PHY 312 1.0 Industrial Physics,3,PLT,Lecture,1,1,1,Dr. D.A.S. Amarasinghe,16:00-17:00
1636,Physics,1,1,0,0,Wednesday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,1,Practicals,PHY P,PHY,PHY P Practicals,3,P,Practicals,1,0,1,NA,08:55-12:00
1642,Physics,1,1,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,1,Practicals,PHY P,PHY,PHY P Practicals,3,P,Practicals,1,0,1,NA,13:00-16:00
1648,Physics,1,1,0,0,Wednesday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,1,Introduction to Computer Hardware,PHY 311 1.0,PHY,PHY 311 1.0 Introduction to Computer Hardware,3,UDG Lab,Lecture,1,1,1,Mr. KS Mannathunga,16:00-17:00
1651,Physics,1,1,0,0,Thursday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,1,Practicals,PHY P,PHY,PHY P Practicals,3,P,Practicals,1,0,1,NA,08:55-12:00
1657,Physics,1,1,0,0,Friday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,NA,Tutorial,PHY T,PHY,PHY T  Tutorial,3,PLT,Tutorial,1,0,1,NA,08:55-09:45
1660,Physics,1,1,0,0,Tuesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,1,Metrology,PHY 315 1.0,PHY,PHY 315 1.0 Metrology,3,Activity Room - Physics,Lecture,0,1,1,Dr. G.W.C. Wijayasundara,08:00-08:50
1663,Physics,1,1,0,0,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,2,Nuclear Physics,PHY 358 2.0,PHY,PHY 358 2.0 Nuclear Physics,3,Activity Room - Physics,Lecture,0,1,1,Prof. P.K.D.D.P. Pitigala,10:15-12:00
1666,Physics,1,1,0,0,Wednesday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,2,Geophysics II,PHY 357 2.0,PHY,PHY 357 2.0 Geophysics II,3,Activity Room - Physics,Lecture,0,1,1,Prof. N.G.S.S. Gamage,08:55-12:00
1669,Physics,1,1,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,4,Practicals,PHY P,PHY,PHY P Practicals,3,P,Practicals,0,1,1,NA,13:00-16:00
1672,Physics,1,1,0,0,Thursday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,4,Practicals,PHY P,PHY,PHY P Practicals,3,P,Practicals,0,1,1,NA,08:55-12:00
1675,Physics,1,1,0,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,4,Practicals,PHY P,PHY,PHY P Practicals,3,P,Practicals,0,1,1,NA,13:00-16:00
1678,Physics,1,1,0,0,Friday,1970-01-01T08:00:00Z,1970-01-01T12:00:00Z,2,Solid State Physics II,PHY 356 2.0,PHY,PHY 356 2.0 Solid State Physics II,3,Activity Room - Physics,Lecture,0,1,1,Dr. D.N. Jayawardane,08:00-12:00
1681,Physics,1,1,0,0,Friday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,2,Workshop Training,PHY 360 2.0,PHY,PHY 360 2.0 Workshop Training,3,NA,Lecture,0,1,1,Prof. P.K.D.D.P. Pitigala,13:00-16:00
1684,Physics,1,1,0,0,Monday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,2,Seminar 2 Activities,PHY 459 2.0,PHY,PHY 459 2.0 Seminar 2 Activities,4,Activity Room - Physics,Lecture,0,1,1,Dr. W.W.P. De Silva,13:00-16:00
1687,Physics,1,1,0,0,Tuesday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,3,Quantum Mechanics II,PHY 456 3.0,PHY,PHY 456 3.0 Quantum Mechanics II,4,SLH - Physics,Lecture,0,1,1,Dr. S. Kandeepan,08:55-12:00
1690,Physics,1,1,0,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,2,Space and Atmospheric Physics,PHY 458 2.0,PHY,PHY 458 2.0 Space and Atmospheric Physics,4,UDG Lab,Lecture,0,1,1,Dr. M.M.P.M. Fernando,13:00-16:00
1693,Physics,1,1,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,2,Seminar 2 Activities,PHY 459 2.0,PHY,PHY 459 2.0 Seminar 2 Activities,4,Activity Room - Physics,Lecture,0,1,1,Dr. W.W.P. De Silva,13:00-16:00
1696,Physics,1,1,0,0,Friday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,2,Particle Physics and Instrumentation,PHY 457 2.0,PHY,PHY 457 2.0 Particle Physics and Instrumentation,4,SLH - Physics,Lecture,0,1,1,Dr. W.W.P. De Silva,08:55-12:00
