Index,Department,Physical,Bio,Food,Sports.Science,Day,Starting.Time,Ending.Time,Number.of.Credits,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,General,Special,Semester.Half,Lecturer.in.charge
67,Forestry and Environmental Science,0,1,0,0,Thursday,8:00:00,9:45:00,1,Green Business Development,EMF 362 1.0,EMF,EMF 362 1.0 Green Business Development,3,SP - Forestry,Lecture,0,1,2,Snr. Prof. Rohini Samarasinghe
70,Forestry and Environmental Science,0,1,0,0,Thursday,10:15:00,12:00:00,1,Advanced Silviculture,EMF 358 1.0,EMF,EMF 358 1.0 Advanced Silviculture,3,F1,Lecture,0,1,1,Ms. Nileththi Shilpa
73,Forestry and Environmental Science,0,1,0,0,Tuesday,13:00:00,15:00:00,1,Forestry for Rural Development,EMF 459 1.0,EMF,EMF 459 1.0 Forestry for Rural Development,4,SP - Forestry,Lecture,0,1,1,Ms. Nileththi Shilpa
76,Forestry and Environmental Science,0,1,0,0,Wednesday,10:15:00,12:00:00,1,Wood Based Composites,EMF 458 1.0,EMF,EMF 458 1.0 Wood Based Composites,4,SP - Forestry,Lecture,0,1,1,Prof. Hiran Amarasekera
79,Forestry and Environmental Science,0,1,0,0,Wednesday,13:00:00,15:00:00,1,Land Reclamation and Soil Remediation,EMF 472 1.0,EMF,EMF 472 1.0 Land Reclamation and Soil Remediation,4,SP - Forestry,Lecture,0,1,1,Dr. Daham Jayawardana
82,Forestry and Environmental Science,0,1,0,0,Thursday,10:15:00,12:00:00,2,Assignment on Forest Management Plan Preparation,EMF 454 2.0,EMF,EMF 454 2.0 Assignment on Forest Management Plan Preparation,4,SP - Forestry,Lecture,0,1,1,Prof. Upul Subasinghe
85,Forestry and Environmental Science,0,1,0,0,Thursday,13:00:00,15:00:00,1,Energy and Environment,EMF 471 1.0,EMF,EMF 471 1.0 Energy and Environment,4,SP - Forestry,Lecture,0,1,1,Dr. Daham Jayawardana
88,Forestry and Environmental Science,1,0,0,0,Wednesday,10:15:00,12:00:00,2,Environmental Economics,ECN 104 2.0,ECN,ECN 104 2.0 Environmental Economics,1,BLT,Lecture,1,0,1,Prof. B W R Damayanthi / Dr. J M M Udugama
91,Forestry and Environmental Science,1,0,0,0,Thursday,8:00:00,9:45:00,3,Principles of Macroeconomics,ECN 103 3.0,ECN,ECN 103 3.0 Principles of Macroeconomics,1,F3,Lecture,1,0,1,Mr. Anura Jayasinghe
94,Forestry and Environmental Science,1,0,0,0,Tuesday,10:15:00,12:00:00,3,Intermediate Macroeconomics,ECN 203 3.0,ECN,ECN 203 3.0 Intermediate Macroeconomics,2,F1,Lecture,1,0,1,Prof. B W R Damayanthi
97,Forestry and Environmental Science,1,0,0,0,Wednesday,8:00:00,9:45:00,3,Intermediate Macroeconomics,ECN 203 3.1,ECN,ECN 203 3.1 Intermediate Macroeconomics,2,F2,Lecture,1,0,1,Prof. B W R Damayanthi
100,Forestry and Environmental Science,1,0,0,0,Thursday,13:00:00,15:00:00,3,Advanced Resource Economics,ECN 204 3.0,ECN,ECN 204 3.0 Advanced Resource Economics,2,F3,Lecture,1,0,1,Prof. U A D P Gunawardena
103,Forestry and Environmental Science,1,0,0,0,Tuesday,8:00:00,9:45:00,2,Advanced Resource Economics,ECN 303 2.0,ECN,ECN 303 2.0 Advanced Resource Economics,3,F1,Lecture,1,0,1,Ms. K D De S Jayasekara
106,Forestry and Environmental Science,1,0,0,0,Wednesday,15:00:00,17:00:00,2,Project Planning and Analysis,ECN 304 2.0,ECN,ECN 304 2.0 Project Planning and Analysis,3,F1,Lecture,1,0,1,Prof. U A D P Gunawardena / Dr. Chandarasekara
109,Forestry and Environmental Science,1,0,0,0,Friday,8:00:00,8:50:00,1,Health Economics,ECN 305 1.0,ECN,ECN 305 1.0 Health Economics,3,F3,Lecture,1,0,1,Ms. C T Jayaratne
112,Food Science and Tech,0,0,1,0,Monday,8:00:00,8:50:00,1,Principles of Organic Chemistry,FST 167 1.0,FST,FST 167 1.0 Principles of Organic Chemistry,1,S1,Lecture,0,1,1,Dr. Laksiri Weerasinghe
115,Food Science and Tech,0,0,1,0,Monday,10:15:00,11:05:00,1,Introduction To Animal Based Food products,FST 170 1.0,FST,FST 170 1.0 Introduction To Animal Based Food products,1,NFC5,Lecture,0,1,1,Prof. I. Wickramasinghe
118,Food Science and Tech,0,1,0,0,Monday,10:15:00,11:05:00,2,Introduction To Animal Based Food products,FSC 122 2.0,FSC,FSC 122 2.0 Introduction To Animal Based Food products,1,NFC5,Lecture,1,0,1,Prof. I. Wickramasinghe
121,Food Science and Tech,0,0,1,0,Monday,11:10:00,12:00:00,1,Introduction To Crop Based Food Products,FST 175 1.0,FST,FST 175 1.0 Introduction To Crop Based Food Products,1,NFC5,Lecture,0,1,1,Dr. Madhura Jayasinghe
124,Food Science and Tech,0,1,0,0,Monday,11:10:00,12:00:00,2,Introduction To Crop Based Food Products,FSC 122 2.0,FSC,FSC 122 2.0 Introduction To Crop Based Food Products,1,NFC5,Lecture,1,0,1,Dr. Madhura Jayasinghe
