Index,Department,Physical,Bio,Food,Sports.Science,Day,Starting.Time,Ending.Time,Number.of.Credits,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,General,Special,Semester.Half,Lecturer.in.charge
355,Botany,0,1,0,0,Monday,14:00:00,16:00:00,NA,Practicals,PBL P,PBL,PBL P Practicals,1,P,Practicals,1,0,1,NA
358,Botany,0,1,0,0,Tuesday,10:15:00,12:00:00,1,Classical Genetics,PBT/PBL/MBL 126 1.0,PBT/PBL/MBL,PBT/PBL/MBL 126 1.0 Classical Genetics,1,B1,Lecture,1,0,1,Prof. P.N.Dasanayake
361,Botany,0,1,0,0,Tuesday,10:15:00,12:00:00,1,Principles of Ecology,PBT/PBL/MBL 123 1.0,PBT/PBL/MBL,PBT/PBL/MBL 123 1.0 Principles of Ecology,1,B1,Lecture,1,0,2,Dr. M.L.A.M.S. Munasinghe
364,Botany,0,1,0,0,Wednesday,13:00:00,15:00:00,1,Plant Development & Propagation,PBT/PBL/MBL 124 1.0,PBT/PBL/MBL,PBT/PBL/MBL 124 1.0 Plant Development & Propagation,1,B1,Lecture,1,0,1,Prof. W.T.P.S.K.Senarath
367,Botany,0,1,0,0,Wednesday,13:00:00,15:00:00,1,Plant Structure & Function,PBT/PBL/MBL 125 1.0,PBT/PBL/MBL,PBT/PBL/MBL 125 1.0 Plant Structure & Function,1,B1,Lecture,1,0,2,Prof. W.T.P.S.K.Senarath
370,Botany,0,1,0,0,Wednesday,15:00:00,16:00:00,NA,Tutorial,PBT T,PBT,PBT T Tutorial,1,T,Tutorial,1,0,1,NA
373,Botany,0,1,0,0,Wednesday,15:00:00,16:00:00,NA,Tutorial,PBL T,PBL,PBL T Tutorial,1,T,Tutorial,1,0,1,NA
376,Botany,0,1,0,0,Wednesday,15:00:00,16:00:00,NA,Tutorial,MBL T,MBL,MBL T Tutorial,1,T,Tutorial,1,0,1,NA
379,Botany,0,1,0,0,Monday,8:00:00,8:50:00,NA,Tutorial,PBT T,PBT,PBT T Tutorial,2,T,Tutorial,1,0,1,NA
382,Botany,0,1,0,0,Tuesday,8:55:00,12:00:00,NA,Practicals,MBL P,MBL,MBL P Practicals,2,P,Practicals,1,0,1,NA
385,Botany,0,1,0,0,Tuesday,13:00:00,16:00:00,NA,Practicals,PBT P,PBT,PBT P Practicals,2,P,Practicals,1,0,1,NA
388,Botany,0,1,0,0,Tuesday,13:00:00,16:00:00,NA,Practicals,PBL P,PBL,PBL P Practicals,2,P,Practicals,1,0,1,NA
391,Botany,0,1,0,0,Wednesday,13:00:00,15:00:00,1,Microbial Genetics,MBL 223 1.0,MBL,MBL 223 1.0  Microbial Genetics,2,S1,Lecture,1,0,1,Mrs. C.B.Wijerathna
394,Botany,0,1,0,0,Wednesday,13:00:00,15:00:00,2,Molecular Genetics,"
PBT 223 2.0",PBT,"
PBT 223 2.0  Molecular Genetics",2,F1,Lecture,1,0,1,Dr. I. U. Kariyawasam
397,Botany,0,1,0,0,Wednesday,13:00:00,15:00:00,1,Plant Physiology,"
PBL 224 1.0 
",PBL,"
PBL 224 1.0 
 Plant Physiology",2,SLH - Botany,Lecture,1,0,1,Dr. R.Wimalasekara
400,Botany,0,1,0,0,Wednesday,13:00:00,15:00:00,1,Fundamentals of Recombinant DNA Technology,PBL 225 1.0,PBL,PBL 225 1.0  Fundamentals of Recombinant DNA Technology,2,SLH - Botany,Lecture,1,0,2,Prof. P.N.Dasanayake
403,Botany,0,1,0,0,Thursday,10:15:00,12:00:00,1,Phytopathogenic Microorganisms – 1,"MBL 228 1.0
",MBL,"MBL 228 1.0
 Phytopathogenic Microorganisms – 1",2,B1,Lecture,1,0,1,Ms. H.T.Mandakini
406,Botany,0,1,0,0,Thursday,10:15:00,12:00:00,2,Gene Technology,PBT 224 2.0,PBT,PBT 224 2.0 Gene Technology,2,B2,Lecture,1,0,1,Prof. P.N.Dasanayake
409,Botany,0,1,0,0,Thursday,10:15:00,12:00:00,2,Genetics,PBL 223 2.0,PBL,PBL 223 2.0  Genetics,2,SLH - Botany,Lecture,1,0,1,Dr. I. U. Kariyawasam
412,Botany,0,1,0,0,Friday,8:55:00,9:45:00,NA,Tutorial,PBL T,PBL,PBL T Tutorial,2,T,Tutorial,1,0,1,NA
415,Botany,0,1,0,0,Friday,8:55:00,9:45:00,NA,Tutorial,MBL T,MBL,MBL T Tutorial,2,T,Tutorial,1,0,1,NA
418,Botany,0,1,0,0,Friday,13:00:00,14:00:00,NA,Tutorial,PBT T,PBT,PBT T Tutorial,2,T,Tutorial,1,0,1,NA
421,Botany,0,1,0,0,Friday,13:00:00,14:00:00,NA,Tutorial,PBL T,PBL,PBL T Tutorial,2,T,Tutorial,1,0,1,NA
424,Botany,0,1,0,0,Friday,13:00:00,14:00:00,NA,Tutorial,MBL T,MBL,MBL T Tutorial,2,T,Tutorial,1,0,1,NA
427,Botany,0,1,0,0,Monday,8:00:00,9:45:00,2,Industrial Biotechnology,PBT 325 2.0,PBT,PBT 325 2.0 Industrial Biotechnology,3,A1,Lecture,1,0,1,Dr. Kasun Thambugala
430,Botany,0,1,0,0,Monday,8:00:00,8:50:00,1,Economic Botany,PBL 321 1.0,PBL,PBL 321 1.0  Economic Botany,3,B2,Lecture,1,0,1,Mrs. C.B.Wijerathna
433,Botany,0,1,0,0,Monday,8:55:00,9:45:00,1,Plant Resources,PBL 325 1.0,PBL,PBL 325 1.0  Plant Resources,3,B2,Lecture,1,0,1,Mrs. C.B.Wijerathna
436,Botany,0,1,0,0,Monday,14:00:00,16:00:00,1,Industrial Management,MBL 326 1.0,MBL,MBL 326 1.0  Industrial Management,3,B1,Lecture,1,0,1,Mrs. M.W.Kalyani
439,Botany,0,1,0,0,Monday,14:00:00,16:00:00,1,Food & Dairy Microbiology,MBL 323 1.0,MBL,MBL 323 1.0  Food & Dairy Microbiology,3,B1,Lecture,1,0,2,Ms. H.T.Mandakini
442,Botany,0,1,0,0,Tuesday,15:00:00,16:00:00,1,Medical Biotechnology,PBT 324.1.0,PBT,PBT 324.1.0 Medical Biotechnology,3,B1,Lecture,1,0,1,Mrs. W.A.S.Wijendra
445,Botany,0,1,0,0,Tuesday,15:00:00,16:00:00,1,Applied Microbiology,PBL 326 1.0,PBL,PBL 326 1.0 Applied Microbiology,3,B3,Lecture,1,0,1,Ms. H.T.Mandakini
448,Botany,0,1,0,0,Tuesday,16:00:00,17:00:00,1,Bioinformatics & Molecular Modeling,PBT 327 1.0,PBT,PBT 327 1.0 Bioinformatics & Molecular Modeling,3,B1,Lecture,1,0,1,Dr. I. U. Kariyawasam
451,Botany,0,1,0,0,Wednesday,16:00:00,17:00:00,NA,Tutorial,PBL T,PBL,PBL T Tutorial,3,T,Tutorial,1,0,1,NA
454,Botany,0,1,0,0,Thursday,13:00:00,14:00:00,1,Medical Microbiology,MBL 324 1.0,MBL,MBL 324 1.0 Medical Microbiology,3,B1,Lecture,1,0,1,Dr. Janani Kottahachchi
457,Botany,0,1,0,0,Thursday,14:00:00,15:00:00,1,Bioinformatics & Molecular Modeling,MBL 327 1.0,MBL,MBL 327 1.0 Bioinformatics & Molecular Modeling,3,B1,Lecture,1,0,1,Dr. I. U. Kariyawasam
460,Botany,0,1,0,0,Friday,8:00:00,8:50:00,NA,Tutorial,PBT T,PBT,PBT T Tutorial,3,T,Tutorial,1,0,1,NA
463,Botany,0,1,0,0,Friday,8:00:00,8:50:00,NA,Tutorial,MBL T,MBL,MBL T Tutorial,3,T,Tutorial,1,0,1,NA
466,Botany,0,1,0,0,Saturday,13:00:00,16:00:00,NA,Practicals,PBL P,PBL,PBL P Practicals,3,P,Practicals,1,0,1,NA
469,Botany,0,1,0,0,Sunday,13:00:00,16:00:00,NA,Practicals,PBL P,PBL,PBL P Practicals,3,P,Practicals,1,0,1,NA
472,Botany,0,1,0,0,Monday,8:55:00,12:00:00,NA,Practicals,MBL P,MBL,MBL P Practicals,3,P,Practicals,1,0,1,NA
475,Botany,0,1,0,0,Monday,10:15:00,11:05:00,1,Plant Synthetic Biology,PBT 393 1.0,PBT,PBT 393 1.0  Plant Synthetic Biology,3,B2,Lecture,0,1,1,Dr. R.Wimalasekara
478,Botany,0,1,0,0,Monday,11:10:00,12:00:00,1,Microbial Biochemistry,MBL 383 1.0,MBL,MBL 383 1.0 Microbial Biochemistry,3,B2,Lecture,0,1,1,Dr. R.Wimalasekara
481,Botany,0,1,0,0,Monday,16:00:00,17:00:00,1,Advanced Microbial Genetics,PBT 386 1.0,PBT,PBT 386 1.0 Advanced Microbial Genetics,3,B2,Lecture,0,1,1,Dr. Anusha Ekanayaka
484,Botany,0,1,0,0,Tuesday,13:00:00,15:00:00,2,Microbes in Pest Management,MBL 382 2.0,MBL,MBL 382 2.0 Microbes in Pest Management,3,B3,Lecture,0,1,1,Dr. Wathsala Udari
487,Botany,0,1,0,0,Tuesday,17:00:00,17:45:00,1,Advanced Genetics,PBL 386 1.0,PBL,PBL 386 1.0 Advanced Genetics,3,B3,Lecture,0,1,1,Dr. I. U. Kariyawasam
490,Botany,0,1,0,0,Wednesday,8:00:00,8:50:00,1,Applications in Nanobiology,PBT 394 1.0,PBT,PBT 394 1.0 Applications in Nanobiology,3,B3,Lecture,0,1,1,Mrs. C.B.Wijerathna
493,Botany,0,1,0,0,Wednesday,8:00:00,8:50:00,1,Applications in Nanobiology,MBL 394 1.0,MBL,MBL 394 1.0 Applications in Nanobiology,3,B3,Lecture,0,1,1,Mrs. C.B.Wijerathna
496,Botany,0,1,0,0,Wednesday,8:55:00,9:45:00,1,Marine Biotechnology,PBT 389 1.0,PBT,PBT 389 1.0 Marine Biotechnology,3,B3,Lecture,0,1,1,Dr. I. U. Kariyawasam
499,Botany,0,1,0,0,Wednesday,15:00:00,17:00:00,2,Biostatistics and Computer Applications,PBL 387 2.0,PBL,PBL 387 2.0 Biostatistics and Computer Applications,3,NFC4,Lecture,0,1,1,Dr. C. Wickramarachchi
502,Botany,0,1,0,0,Wednesday,15:00:00,17:00:00,2,Biostatistics and Computer Applications,PBT 387 2.0,PBT,PBT 387 2.0 Biostatistics and Computer Applications,3,NFC4,Lecture,0,1,1,Dr. C. Wickramarachchi
505,Botany,0,1,0,0,Wednesday,15:00:00,17:00:00,2,Biostatistics and Computer Applications,MBL 387 2.0,MBL,MBL 387 2.0 Biostatistics and Computer Applications,3,NFC4,Lecture,0,1,1,Dr. C. Wickramarachchi
508,Botany,0,1,0,0,Thursday,8:00:00,9:45:00,2,Advanced Phytotaxonomy,PBL 390 2.0,PBL,PBL 390 2.0  Advanced Phytotaxonomy,3,B3,Lecture,0,1,1,Dr. I. U. Kariyawasam
511,Botany,0,1,0,0,Thursday,8:00:00,9:45:00,2,Advanced Phytotaxonomy,PBT 390 2.0,PBT,PBT 390 2.0  Advanced Phytotaxonomy,3,B3,Lecture,0,1,1,Dr. I. U. Kariyawasam
514,Botany,0,1,0,0,Thursday,10:15:00,12:00:00,1,Fundamentals of GIS,PBL 384 1.0,PBL,PBL 384 1.0 Fundamentals of GIS,3,F3,Lecture,0,1,1,Dr. Daham Jayawardana
517,Botany,0,1,0,0,Friday,13:00:00,17:00:00,NA,Practicals,PBT P,PBT,PBT P Practicals,3,P,Practicals,0,1,1,NA
520,Botany,0,1,0,0,Friday,13:00:00,17:00:00,NA,Practicals,PBL P,PBL,PBL P Practicals,3,P,Practicals,0,1,1,NA
523,Botany,0,1,0,0,Friday,8:55:00,12:00:00,NA,Practicals,MBL P,MBL,MBL P Practicals,3,P,Practicals,0,1,1,NA
526,Botany,0,1,0,0,Friday,13:00:00,15:00:00,1,Advanced Mycology,MBL 393 1.0,MBL,MBL 393 1.0  Advanced Mycology,3,B2,Lecture,0,1,1,Dr. Dimuthu Manamgoda
529,Botany,0,1,0,0,Monday,8:00:00,9:45:00,1,Microbial Enzymes in Biotechnology,MBL 485 1.0,MBL,MBL 485 1.0 Microbial Enzymes in Biotechnology,4,SLH - Botany,Lecture,0,1,1,Dr. R.Wimalasekara
532,Botany,0,1,0,0,Monday,10:15:00,12:00:00,2,Introduction to Palynology,PBT 484 2.0,PBT,PBT 484 2.0  Introduction to Palynology,4,B3,Lecture,0,1,1,Dr. R.Wimalasekara
535,Botany,0,1,0,0,Monday,13:00:00,15:00:00,2,Advanced Applied Microbiology,PBL 492 2.0,PBL,PBL 492 2.0 Advanced Applied Microbiology,4,SLH - Botany,Lecture,0,1,1,Dr. Anusha Ekanayaka
538,Botany,0,1,0,0,Monday,15:00:00,16:00:00,1,Viral Genetics,PBT 495 1.0,PBT,PBT 495 1.0  Viral Genetics,4,B2,Lecture,0,1,1,Dr. Anusha Ekanayaka
541,Botany,0,1,0,0,Monday,16:00:00,17:00:00,1,Laboratory Management for Microbiologist,MBL 497 1.0,MBL,MBL 497 1.0 Laboratory Management for Microbiologist,4,B3,Lecture,0,1,1,Mrs. C.B.Wijerathna
544,Botany,0,1,0,0,Tuesday,8:00:00,9:45:00,2,Molecular Diagnosis of Plant Diseases,PBT 499 2.0,PBT,PBT 499 2.0 Molecular Diagnosis of Plant Diseases,4,B3,Lecture,0,1,1,Dr. Dimuthu Manamgoda
547,Botany,0,1,0,0,Tuesday,8:00:00,9:45:00,2,Molecular Diagnosis of Plant Diseases,MBL 499 2.0,MBL,MBL 499 2.0 Molecular Diagnosis of Plant Diseases,4,B3,Lecture,0,1,1,Dr. Dimuthu Manamgoda
550,Botany,0,1,0,0,Tuesday,8:00:00,8:50:00,1,Cell Signaling,PBT 486 1.0,PBT,PBT 486 1.0 Cell Signaling,4,B3,Lecture,0,1,1,Dr. R.Wimalasekara
553,Botany,0,1,0,0,Tuesday,8:55:00,9:45:00,1,Plant Developmental Genetics,PBT 490 1.0,PBT,PBT 490 1.0 Plant Developmental Genetics,4,B3,Lecture,0,1,1,Dr. R.Wimalasekara
556,Botany,0,1,0,0,Tuesday,10:15:00,12:00:00,2,Environmental Microbiology,MBL 493 2.0,MBL,MBL 493 2.0 Environmental Microbiology,4,B2,Lecture,0,1,1,Dr. Anusha Ekanayaka
559,Botany,0,1,0,0,Saturday,8:55:00,12:00:00,2,Plant Quarantine,MBL 496 2.0,MBL,MBL 496 2.0  Plant Quarantine,4,B2,Lecture,0,1,1,Ms. Champika Hewage
562,Botany,0,1,0,0,Saturday,8:55:00,12:00:00,2,Plant Quarantine,PBT 496 2.0,PBT,PBT 496 2.0  Plant Quarantine,4,B2,Lecture,0,1,1,Ms. Champika Hewage
565,Botany,0,1,0,0,Saturday,13:00:00,15:00:00,2,Crop Protection,PBL 480 2.0,PBL,PBL 480 2.0 Crop Protection,4,B2,Lecture,0,1,1,Dr. Wathsala Udari
568,Botany,0,1,0,0,Sunday,8:55:00,16:00:00,2,Advanced Plant Pathology,MBL 483 2.0,MBL,MBL 483 2.0 Advanced Plant Pathology,4,B2,Lecture,0,1,1,Prof. Renuka Aththanayake
571,Botany,0,1,0,0,Sunday,8:55:00,16:00:00,2,Advanced Plant Pathology,PBL 482 2.0,PBL,PBL 482 2.0 Advanced Plant Pathology,4,B2,Lecture,0,1,1,Prof. Renuka Aththanayake
574,Chemistry,1,1,0,0,Monday,8:00:00,8:50:00,1,Organic Chemistry II,"CHE 109 
1.0",CHE,"CHE 109 
1.0 Organic Chemistry II",1,C1,Lecture,1,0,1,Prof. C Padumadasa
577,Chemistry,1,1,0,0,Tuesday,8:00:00,9:45:00,2,Introduction to Analytical Chemistry,"CHE 111 
2.0",CHE,"CHE 111 
2.0  Introduction to Analytical Chemistry",1,C1,Lecture,1,0,1,Prof. C D Jayaweera
580,Chemistry,1,1,0,0,Tuesday,16:00:00,17:00:00,1,Chemical Thermodynamics,"CHE 103 
1.0",CHE,"CHE 103 
1.0  Chemical Thermodynamics",1,C1,Lecture,1,0,1,Dr. Tharindu Senapathi
583,Chemistry,1,1,0,0,Tuesday,17:00:00,17:45:00,NA,Tutorial,CHE T,CHE,CHE T Tutorial,1,T,Tutorial,1,0,1,NA
586,Chemistry,1,1,0,0,Friday,8:55:00,16:00:00,NA,Practicals,CHE P,CHE,CHE P Practicals,1,P,Practicals,1,0,1,NA
589,Chemistry,1,1,0,0,Monday,8:55:00,16:00:00,NA,Practicals,CHE P,CHE,CHE P Practicals,2,P,Practicals,1,0,1,NA
592,Chemistry,1,1,0,0,Wednesday,10:15:00,11:05:00,1,Organic Spectroscopy,"CHE 203 
1.0",CHE,"CHE 203 
1.0 Organic Spectroscopy",2,C1,Lecture,1,0,1,Prof. Asiri Perera
595,Chemistry,1,1,0,0,Wednesday,11:10:00,12:00:00,1,Electrochemistry,"CHE 204 
1.0",CHE,"CHE 204 
1.0 Electrochemistry",2,C1,Lecture,1,0,1,Dr. L Palliyaguru
598,Chemistry,1,1,0,0,Thursday,13:00:00,14:00:00,1,Chemistry of Coordination Compounds,"CHE 202 
1.0",CHE,"CHE 202 
1.0  Chemistry of Coordination Compounds",2,C1,Lecture,1,0,1,Dr. Isuri Weerarathne
601,Chemistry,1,1,0,0,Thursday,14:00:00,15:00:00,1,Chemical Kinetics,"CHE 206 
1.0",CHE,"CHE 206 
1.0 Chemical Kinetics",2,C1,Lecture,1,0,1,Dr. Imalka Munaweera
604,Chemistry,1,1,0,0,Friday,16:00:00,17:00:00,NA,Tutorial,CHE T,CHE,CHE T Tutorial,2,T,Tutorial,1,0,1,NA
607,Chemistry,1,1,0,0,Monday,16:00:00,17:00:00,1,Quality Control and Assurance,"CHE 333 
1.0",CHE,"CHE 333 
1.0 Quality Control and Assurance",3,C1,Lecture,1,0,1,Dr. Upul Kumarasinghe
610,Chemistry,1,1,0,0,Tuesday,8:00:00,8:50:00,1,Industrial Organic Chemistry,"CHE 345 
1.0",CHE,"CHE 345 
1.0  Industrial Organic Chemistry",3,S1,Lecture,1,0,1,Dr. Upul Kumarasinghe
613,Chemistry,1,1,0,0,Tuesday,17:00:00,17:45:00,1,Basic Chemical Engineering,"CHE 312 
1.0",CHE,"CHE 312 
1.0 Basic Chemical Engineering",3,C1,Lecture,1,0,1,VL
616,Chemistry,1,1,0,0,Wednesday,8:00:00,8:50:00,1,Introduction to Molecular Modeling and Designing,"CHE 340 
1.0",CHE,"CHE 340 
1.0  Introduction to Molecular Modeling and Designing",3,C1,Lecture,1,0,1,Dr. R Jayakody
619,Chemistry,1,1,0,0,Wednesday,8:55:00,16:00:00,NA,Practicals,CHE P,CHE,CHE P Practicals,3,P,Practicals,1,0,1,NA
622,Chemistry,1,1,0,0,Thursday,8:00:00,8:50:00,1,Structure and Function of Biomolecules,"CHE 330 
1.0",CHE,"CHE 330 
1.0 Structure and Function of Biomolecules",3,C1,Lecture,1,0,1,Prof. P Godakumbura
625,Chemistry,1,1,0,0,Thursday,8:55:00,9:45:00,1,Industrial Utilization of Plant Materials,"CHE 302 
1.0",CHE,"CHE 302 
1.0 Industrial Utilization of Plant Materials",3,C1,Lecture,1,0,1,Prof. P Godakumbura
628,Chemistry,1,1,0,0,Monday,8:00:00,9:45:00,2,Organic Synthesis and Industrial Applications,ICH 363 2.0,ICH,ICH 363 2.0 Organic Synthesis and Industrial Applications,3,C3,Lecture,0,1,1,Dr. Upul Kumarasinghe
631,Chemistry,1,1,0,0,Monday,10:15:00,11:05:00,1,Spectroscopic Techniques for Identification of Organic Compounds,ICH 365 1.0,ICH,ICH 365 1.0 Spectroscopic Techniques for Identification of Organic Compounds,3,C3,Lecture,0,1,1,Prof. C Padumadasa
634,Chemistry,1,1,0,0,Monday,13:00:00,14:00:00,2,Chemical Kinetics and Thermodynamics,ICH 373 2.0,ICH,ICH 373 2.0 Chemical Kinetics and Thermodynamics,3,C3,Lecture,0,1,1,Dr. L Palliyaguru / Dr. Tharindu Senapathi 
637,Chemistry,1,1,0,0,Monday,15:00:00,17:00:00,2,Food Chemistry and Technology,ICH 369 2.0,ICH,ICH 369 2.0 Food Chemistry and Technology,3,C3,Lecture,0,1,1,Prof. P Godakumbura
640,Chemistry,1,1,0,0,Tuesday,8:55:00,16:00:00,NA,Practicals,ICH P,ICH,ICH P Practicals,3,P,Practicals,0,1,1,NA
643,Chemistry,1,1,0,0,Wednesday,8:00:00,9:45:00,2,Molecular Modelling and Computational Chemistry,ICH 370 2.0,ICH,ICH 370 2.0 Molecular Modelling and Computational Chemistry,3,C3,Lecture,0,1,1,Dr. R Jayakody
646,Chemistry,1,1,0,0,Thursday,8:55:00,9:45:00,1,Spectroscopic Techniques for Identification of Inorganic Complexes,ICH 364 1.0,ICH,ICH 364 1.0 Spectroscopic Techniques for Identification of Inorganic Complexes,3,C3,Lecture,0,1,1,Prof. NT Perera
649,Chemistry,1,1,0,0,Thursday,10:15:00,12:00:00,2,Microscopic and Scattering Techniques,ICH 367 2.0,ICH,ICH 367 2.0 Microscopic and Scattering Techniques,3,C4,Lecture,0,1,1,Dr. L Palliyaguru / Dr. S Rajapaksha
652,Chemistry,1,1,0,0,Monday,8:00:00,8:50:00,1,Alternative Energy Sources and Energy Storage Devices,ICH 457 1.0,ICH,ICH 457 1.0 Alternative Energy Sources and Energy Storage Devices,4,SCR,Lecture,0,1,1,Dr. Isuri Weerarathne
655,Chemistry,1,1,0,0,Monday,10:15:00,12:00:00,2,Petroleum Chemistry and Petrochemical Industry,ICH 476 2.0,ICH,ICH 476 2.0 Petroleum Chemistry and Petrochemical Industry,4,SCR,Lecture,0,1,1,VL
658,Chemistry,1,1,0,0,Monday,13:00:00,15:00:00,2,"Quality Assurance, Accreditation and Project Management",ICH 484 2.0,ICH,"ICH 484 2.0 Quality Assurance, Accreditation and Project Management",4,SCR,Lecture,0,1,1,VL
661,Chemistry,1,1,0,0,Monday,10:15:00,11:05:00,1,Advanced Organic Spectroscopy,CHE 358 1.0,CHE,CHE 358 1.0 Advanced Organic Spectroscopy,3,C3,Lecture,0,1,1,Prof. C Padumadasa
664,Chemistry,1,1,0,0,Monday,11:10:00,12:00:00,1,Advanced Coordination Chemistry,CHE 367 1.0,CHE,CHE 367 1.0 Advanced Coordination Chemistry,3,C3,Lecture,0,1,1,Dr. M Kartunaratne
667,Chemistry,1,1,0,0,Tuesday,8:00:00,8:50:00,1,Advanced Quantum Chemistry,CHE 362 1.0,CHE,CHE 362 1.0 Advanced Quantum Chemistry,3,C3,Lecture,0,1,1,Dr. R Jayakody
670,Chemistry,1,1,0,0,Tuesday,8:55:00,16:00:00,NA,Practicals,CHE P,CHE,CHE P Practicals,3,P,Practicals,0,1,1,NA
673,Chemistry,1,1,0,0,Wednesday,10:15:00,11:05:00,1,Natural Product Chemistry,CHE 384 1.0,CHE,CHE 384 1.0 Natural Product Chemistry,3,C4,Lecture,0,1,1,Dr. I Fernando
676,Chemistry,1,1,0,0,Wednesday,11:10:00,12:00:00,1,Inorganic Reaction Mechanisms,CHE 354 1.0,CHE,CHE 354 1.0 Inorganic Reaction Mechanisms,3,C4,Lecture,0,1,1,Dr. Imalka Munaweera
679,Chemistry,1,1,0,0,Thursday,8:00:00,8:50:00,1,Structural Chemistry,CHE 353 1.0,CHE,CHE 353 1.0 Structural Chemistry,3,C3,Lecture,0,1,1,Dr. M Kartunaratne
682,Chemistry,1,1,0,0,Thursday,8:55:00,9:45:00,1,Spectroscopic Methods in Inorganic Chemistry,CHE 352 1.0,CHE,CHE 352 1.0 Spectroscopic Methods in Inorganic Chemistry,3,C3,Lecture,0,1,1,Prof. NT Perera
685,Chemistry,1,1,0,0,Thursday,10:15:00,11:05:00,1,Asymmetric Organic Synthesis,CHE 385 1.0,CHE,CHE 385 1.0 Asymmetric Organic Synthesis,3,C3,Lecture,0,1,1,Dr. Upul Kumarasinghe
688,Chemistry,1,1,0,0,Thursday,11:10:00,12:00:00,1,Biochemistry,CHE 371 1.0,CHE,CHE 371 1.0 Biochemistry,3,C3,Lecture,0,1,1,Prof. P Godakumbura
691,Chemistry,1,1,0,0,Thursday,13:00:00,14:00:00,1,Advanced Chemical Kinetics,CHE 361 1.0,CHE,CHE 361 1.0 Advanced Chemical Kinetics,3,C3,Lecture,0,1,1,Dr. Tharindu Senapathi
694,Chemistry,1,1,0,0,Friday,10:15:00,11:05:00,1,Molecular Photochemistry,CHE 369 1.0,CHE,CHE 369 1.0 Molecular Photochemistry,3,C3,Lecture,0,1,1,Dr. S Rajapaksha
697,Chemistry,1,1,0,0,Friday,11:10:00,12:00:00,1,Diffraction Methods in Chemistry,CHE 365 1.0,CHE,CHE 365 1.0 Diffraction Methods in Chemistry,3,C3,Lecture,0,1,1,Prof. N Kottegoda
700,Chemistry,1,1,0,0,Monday,10:15:00,11:05:00,1,Solid State Chemistry,CHE 476 1.0,CHE,CHE 476 1.0 Solid State Chemistry,4,C4,Lecture,0,1,1,Prof. N Kottegoda
703,Chemistry,1,1,0,0,Monday,11:10:00,12:00:00,1,Polymer Chemistry,CHE 456 1.0,CHE,CHE 456 1.0 Polymer Chemistry,4,C4,Lecture,0,1,1,Prof. Thilini Gunasekara
706,Chemistry,1,1,0,0,Monday,13:00:00,14:00:00,1,New Trends in Organic Synthesis,CHE 401 1.0,CHE,CHE 401 1.0 New Trends in Organic Synthesis,4,C4,Lecture,0,1,1,Dr. Laksiri Weerasinghe
709,Chemistry,1,1,0,0,Monday,14:00:00,15:00:00,1,Advanced Surface Chemistry,CHE 458 1.0,CHE,CHE 458 1.0 Advanced Surface Chemistry,4,C4,Lecture,0,1,1,Dr. L Palliyaguru
712,Chemistry,1,1,0,0,Monday,16:00:00,17:00:00,1,Quality Control and Assurance,CHE 485 1.0,CHE,CHE 485 1.0 Quality Control and Assurance,4,C1,Lecture,0,1,1,Dr. Ushantha Jayalath
715,Chemistry,1,1,0,0,Tuesday,8:00:00,8:50:00,1,Polymer Technology,CHE 464 1.0,CHE,CHE 464 1.0 Polymer Technology,4,C4,Lecture,0,1,1,Dr. Chandima Narangoda
718,Chemistry,1,1,0,0,Tuesday,10:15:00,11:05:00,1,Chemistry of Plant products and their Applications in Industry,CHE 466 1.0,CHE,CHE 466 1.0 Chemistry of Plant products and their Applications in Industry,4,C4,Lecture,0,1,1,Prof. P Godakumbura
721,Chemistry,1,1,0,0,Tuesday,11:10:00,12:00:00,1,Basic Chemical Engineering,CHE 461 1.0,CHE,CHE 461 1.0 Basic Chemical Engineering,4,C4,Lecture,0,1,1,VL
724,Chemistry,1,1,0,0,Tuesday,13:00:00,14:00:00,1,Medicinal Chemistry,CHE 454 1.0,CHE,CHE 454 1.0 Medicinal Chemistry,4,C4,Lecture,0,1,1,Dr. Upul Kumarasinghe
727,Chemistry,1,1,0,0,Wednesday,8:55:00,9:45:00,1,Supramolecular Chemistry,CHE 491 1.0,CHE,CHE 491 1.0 Supramolecular Chemistry,4,C4,Lecture,0,1,1,Dr. I Fernando
730,Chemistry,1,1,0,0,Wednesday,11:10:00,12:00:00,1,Atmospheric Chemistry,CHE 498 1.0,CHE,CHE 498 1.0 Atmospheric Chemistry,4,C4,Lecture,0,1,1,Prof. C D Jayaweera
733,Chemistry,1,1,0,0,Wednesday,13:00:00,14:00:00,1,Molecular Spectroscopy,CHE 457 1.0,CHE,CHE 457 1.0 Molecular Spectroscopy,4,C4,Lecture,0,1,1,Prof. N Kottegoda
736,Polymer Science,1,1,0,0,Monday,8:55:00,11:05:00,3,Polymeric Materials,PSC 104 3.0,PSC,PSC 104 3.0 Polymeric Materials,1,C2,Lecture,1,0,1,Prof. Laleen Karunanayake / Dr. Dammika Weerathunga
739,Polymer Science,1,1,0,0,Monday,8:00:00,9:45:00,NA,Tutorial,PSC T,PSC,PSC T Tutorial,2,T,Tutorial,1,0,1,NA
742,Polymer Science,1,1,0,0,Monday,10:15:00,11:05:00,1,Polymer Blends and Composite,PST 301 1.0,PST,PST 301 1.0 Polymer Blends and Composite,3,C2,Lecture,1,0,1,Dr. Thusitha Etampawala
