Department,Physical,Bio,Food,Sports Science ,Day,Starting Time,Ending Time,Number of Credits,Course Title,Course Code,Subject Code,Academic Year,Location,Lecturer in Charge,Lecture Type,General,Special,Semester Half
Forestry and Environmental Science,1,0,0,0,Thursday,13:00,15:00,3,Advanced Resource Economics,ECN 204 3.0,ECN,2,F3,Prof. U A D P Gunawardena,Lecture,1,0,1
Forestry and Environmental Science,1,0,0,0,Tuesday,08:00,09:45,2,Advanced Resource Economics,ECN 303 2.0,ECN,3,F1,Ms. K D De S Jayasekara,Lecture,1,0,1
Forestry and Environmental Science,1,0,0,0,Wednesday,15:00,17:00,2,Project Planning and Analysis,ECN 304 2.0,ECN,3,F1,Prof. U A D P Gunawardena - Dr. Chandarasekara,Lecture,1,0,1
Forestry and Environmental Science,1,0,0,0,Friday,08:00,08:50,1,Health Economics,ECN 305 1.0,ECN,3,F3,Ms. C T Jayaratne,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Monday,08:00,08:50,1,Prin Org Chem,FST 167 1.0,FST,1,S1,Dr. Laksiri Weerasinghe,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Monday,10:15,11:05,1,Intro. To Animal Based Food products,FST 170 1.0,FST,1,NFC5,Prof. I. Wickramasinghe,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Monday,10:15,11:05,2,Intro. To Animal Based Food products,FSC 122 2.0,FSC,1,NFC5,Prof. I. Wickramasinghe,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Monday,11:10,12:00,1,Intro. To Crop Based Food Products,FST 175 1.0,FST,1,NFC5,Dr. Madhura Jayasinghe,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Monday,11:10,12:00,2,Intro. To Crop Based Food Products,FSC 122 2.0,FSC,1,NFC5,Dr. Madhura Jayasinghe,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Monday,15:00,16:00,1,Chemistry of Living sys.,FST 163 1.0,FST,1,NFC5,Prof. Jagath Wansapala,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Monday,15:00,16:00,1,Basics of Bio chem,FSC 131 1.0,FSC,1,NFC5,Prof. Jagath Wansapala,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Tuesday,08:00,08:50,2,Introduction to Analytical Chem.,FST 164 2.0,FST,1,S1,Dr. Asitha Cooray,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Tuesday,11:10,12:00,1,Principles of Physics II,FST 180 1.0,FST,1,NFC2,Mr. Chehan Yapa,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Tuesday,13:00,14:00,1,Applied Human Nutrition,FST 169 1.0,FST,1,NFC2,Dr. Madhura Jayasinghe,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Tuesday,14:00,15:00,1,Organizational behavior,FST 158 1.0,FST,1,NFC2,Dr. Dulani Somendrika,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Tuesday,16:00,17:00,1,Chemical Thermodynamics,FST 165 1.0,FST,1,S1,NA,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Wednesday,10:15,12:00,2,Food Microbio,FST 187 2.0,FST,1,NFC2,Prof. R.A.U.J. Marapana,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Wednesday,13:00,14:00,1,Food Business Mgt I,FSC 112 1.0,FSC,1,NFC2,Dr. Piumi Abeysundara,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Wednesday,14:00,15:00,1,Business Econ.,FST 159 1.0,FST,1,NFC2,VL,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Thursday,08:55,16:00,NA,Food practical,FST P,FST,1,P,NA,Practicals,0,1,1
Food Science and Tech,0,0,1,0,Monday,08:55,09:45,1,Post Harvest Mgt of Animal Com.,FST 267 1.0,FST,2,NFC5,Prof. I. Wickramasinghe,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Monday,13:00,14:00,1,Dietetics I,FST 268 1.0,FST,2,NFC5,Dr. Madhura Jayasinghe,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Tuesday,08:55,15:00,NA,Food practical,FST P,FST,2,P,NA,Practicals,0,1,1
Food Science and Tech,0,0,1,0,Wednesday,08:00,09:45,2,Stat. for Food Sci. I,FST 251 2.0,FST,2,NFC5,Ms. Asha Mallikarachchi,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Wednesday,10:15,11:05,1,Organic Spectros copy,FST 261 1.0,FST,2,S1,Dr. Upul Kumarasinghe,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Wednesday,11:10,12:00,1,Electro chemistry,FST 262 1.0,FST,2,S1,Dr. Tharindu Senapathi,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Wednesday,13:00,15:00,2,Unit Ope. In Food Processing,FST 280 2.0,FST,2,NFC5,VL,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Thursday,08:55,09:45,1,Bakery Science,FST 292 1.0,FST,2,NFC5,Dr. Suraji Senanayake,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Thursday,10:15,11:05,1,Food Bus. Mgt. II,FSC 211 1.0,FSC,2,NFC2,Dr. Dulani Somendrika,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Thursday,11:10,12:00,1,Post harvest Mgt of Plant Comm.,FST 266 1.0,FST,2,NFC5,Dr. Dulani Somendrika,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Thursday,11:10,12:00,1,Post-Harvest Mgt,FSC 252 1.0,FSC,2,NFC5,Dr. Dulani Somendrika,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Thursday,14:00,15:00,2,Chemical Kinetics,FST 264 2.0,FST,2,S1,Dr. S Rajapaksha,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Thursday,15:00,16:00,1,Food Packaging,FST 282 1.0,FST,2,NFC5,Dr. Chathuni Jayathilaka,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Friday,08:55,11:05,2,Food Chem.,FST 290 2.0,FST,2,NFC5,Prof. Jagath Wansapala,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Friday,08:55,11:05,2,Food Chem.,FSC 231 2.0,FSC,2,NFC5,Prof. Jagath Wansapala,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Friday,13:00,14:00,1,"Basic Management, Accounting and Finance",FST 298 1.0,FST,2,NFC5,VL,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Monday,08:00,09:45,2,Regression Analysis,FST 366 2.0,FST,3,NFC2,Ms. Asha Mallikarachchi,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Monday,10:15,11:05,1,Project Management,FST 367 1.0 ,FST,3,NFC2,Prof. Jagath Jayasinghe,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Monday,11:10,12:00,2,Sustainability and Circular Economy,FST 359 1.0,FST,3,NFC2,Dr. Dulani Somendrika,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Monday,14:00,15:00,1,"Spices, Root Crops",FST 386 1.0,FST,3,NFC5,Dr. Dulani Somendrika,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Tuesday,08:55,09:45,1,Grain Tech.,FST 383 1.0,FST,3,NFC5,Dr. Suraji Senanayake,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Tuesday,10:15,11:05,1,Fish & Meat Proce. Technology,FST 374 1.0,FST,3,NFC5,Prof. I. Wickramasinghe,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Tuesday,10:15,11:05,1,Fish & Meat Proce. Technology,FSC 371 1.0,FSC,3,NFC5,Prof. I. Wickramasinghe,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Tuesday,11:10,12:00,1,Dairy Pro. Tech.,FST 399 1.0,FST,3,NFC5,Prof. R.A.U.J. Marapana,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Tuesday,11:10,12:00,1,Dairy Technology,FSC 372 1.0,FSC,3,NFC5,Prof. R.A.U.J. Marapana,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Tuesday,13:00,14:00,1,Fat and Oil Technology,FST 387 1.0,FST,3,NFC2,Dr. Piumi Abeysundara,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Tuesday,14:00,15:00,1,Seminar,FSC 395 1.0,FSC,3,NFC2,Dr. Isuru Wijesekara,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Wednesday,08:55,16:00,NA,Food Practical,FST P,FST,3,P,NA,Practicals,0,1,1
Food Science and Tech,0,0,1,0,Thursday,08:00,09:45,2,Emerging Food Tec.,FST 368 2.0,FST,3,NFC2,Senior Prof. K.K.D.S. Ranaweera,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Thursday,10:15,11:05,1,"Fruit & Vegetable Proce, & Tech.",FST 384 1.0,FST,3,NFC5,Prof. R.A.U.J. Marapana,Lecture,0,1,1
Food Science and Tech,0,1,0,0,Thursday,10:15,11:05,1,"Fruit & Vegetable Proce, & Tech.",FSC 373 1.0,FSC,3,NFC5,Prof. R.A.U.J. Marapana,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Thursday,11:10,12:00,2,Social Mobi.,FST 380 2.0,FST,3,NFC2,Prof. Jagath Jayasinghe,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Thursday,13:00,14:00,1,Food Biotech.,FSC 362 1.0,FSC,3,NFC5,Senior Prof. K.K.D.S. Ranaweera,Lecture,1,0,1
Food Science and Tech,0,1,0,0,Thursday,15:00,16:00,1,Food Packaging,FSC 353 1.0,FSC,3,NFC5,Dr. Chathuni Jayathilaka,Lecture,1,0,1
Food Science and Tech,0,0,1,0,Friday,11:10,12:00,1,Sensory Analysis,FST 362 1.0,FST,3,NFC5,Dr. Chathuni Jayathilaka,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Friday,15:00,16:00,1,Mechanical Aspects of Food Technology,FST 391 1.0,FST,3,NFC5,VL,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Friday,08:00,08:50,1,Introduction to Multivariate Statistics,FST 452 1.0,FST,4,NFC2,Ms. Asha Mallikarachchi,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Friday,08:55,09:45,1,Nano Technology in Food System,FST 482 1.0,FST,4,NFC2,VL,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Friday,10:15,12:00,1,Career Skills Development,FST 457 1.0,FST,4,NFC2,VL,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Friday,13:00,14:00,1,Industrial Microbiology,FST 481 1.0,FST,4,NFC2,Dr. Piumi Abeysundara,Lecture,0,1,1
Food Science and Tech,0,0,1,0,Friday,14:00,15:00,1,Strategic Management,FST 458 1.0,FST,4,NFC2,Prof. Jagath Jayasinghe,Lecture,0,1,1
Computer Science ,1,0,0,0,Monday,08:00,09:45,2,Software Engineering II,CSC 112 2.0,CSC,1,NFC3,Dr. EATA Edirisuriya,Lecture,1,0,1
Computer Science ,1,0,0,0,Tuesday,08:00,09:45,1,Computer Programming - Laboratory,CSC 111 1.0,CSC,1,NFC3,Mr. AMRR Bandara - Ms. FS Sourjah,Lecture,1,0,1
Computer Science ,1,0,0,0,Wednesday,10:15,12:00,2,Object Oriented Programming,CSC 110 2.0 ,CSC,1,NFC3,Dr. TMKK Jinasena,Lecture,1,0,1
Computer Science ,1,0,0,0,Wednesday,13:00,15:00,NA,Practicals,CSC P,CSC,1,P,NA,Practicals,1,0,1
Computer Science ,1,0,0,0,Thursday,08:00,08:50,NA,Tutorial,CSC T,CSC,1,T,NA,Tutorial,1,0,1
Computer Science ,1,0,0,0,Thursday,13:00,15:00,NA,Practicals,CSC P,CSC,1,P,NA,Practicals,1,0,1
Computer Science ,1,0,0,0,Friday,10:15,12:00,NA,Practicals,CSC P,CSC,1,P,NA,Practicals,1,0,1
Computer Science ,1,0,0,0,Monday,10:15,12:00,2,Database Management Systems,CSC 209 2.0,CSC,2,NFC3,Dr. S Tissera,Lecture,1,0,1
Computer Science ,1,0,0,0,Wednesday,08:00,09:45,1,Computer Graphics,CSC 210 1.0,CSC,2,NFC4,Prof. RGN Meegama,Lecture,1,0,1
Computer Science ,1,0,0,0,Wednesday,10:15,12:00,2,Operating Systems,CSC 208 2.0 ,CSC,2,NFC4,Mr. MDR Perera,Lecture,1,0,1
Computer Science ,1,0,0,0,Thursday,10:15,12:00,NA,Practicals,CSC P,CSC,2,P,NA,Practicals,1,0,1
Computer Science ,1,0,0,0,Thursday,13:00,15:00,NA,Tutorial,CSC T,CSC,2,T,NA,Tutorial,1,0,1
Computer Science ,1,0,0,0,Monday,08:00,09:45,2,Operations Research,CSC 355 2.0,CSC,3,Stat Lab,Mr. DDA Gamini,Lecture,0,1,1
Computer Science ,1,0,0,0,Monday,13:00,15:00,1.5,Net Centric Computing,CSC 315 1.5,CSC,3,NFC4,Prof. RGN Meegama,Lecture,1,1,1
Computer Science ,1,0,0,0,Tuesday,08:00,09:45,2,Software Quality Assurance,CSC 365 2.0,CSC,3,PLT,Dr. EATA Edirisuriya,Lecture,1,1,1
Computer Science ,1,0,0,0,Tuesday,13:00,15:00,2,Swarm Intelligence,CSC 361 2.0,CSC,3,NFC4,Ms. MKA Ariyaratne,Lecture,1,1,1
Computer Science ,1,0,0,0,Wednesday,08:00,09:45,2,Artificial Intelligence,CSC 316 2.0,CSC,3,NFC3,Mr. DDA Gamini,Lecture,1,1,1
Computer Science ,1,0,0,0,Wednesday,13:00,15:00,1.5,Human Computer Interaction,CSC 317 1.5,CSC,3,NFC3,Dr. PRS De Silva,Lecture,1,1,1
Computer Science ,1,0,0,0,Thursday,08:00,09:45,NA,Practicals,CSC P,CSC,3,P,NA,Practicals,1,0,1
Computer Science ,1,0,0,0,Thursday,08:00,09:45,2,Theory of Programming Languages,CSC 377 2.0 ,CSC,3,NFC3,Ms. MKA Ariyaratne,Lecture,0,1,1
Computer Science ,1,0,0,0,Thursday,10:15,12:00,2,Machine Learning II,CSC 375 2.0 ,CSC,3,LCS2,Prof. TGI Fernando,Lecture,0,1,1
Computer Science ,1,0,0,0,Thursday,13:00,15:00,1.5,Embedded Systems and Internet of Things,CSC 376 1.5,CSC,3,LCS2,Mr. MDR Perera,Lecture,0,1,1
Botany,0,1,0,0,Monday,08:55,12:00,NA,Practicals,MBL P,MBL,1,P,NA,Practicals,1,0,1
Botany,0,1,0,0,Monday,13:00,16:00,NA,Practicals,PBT P,PBT,1,P,NA,Practicals,1,0,1
Botany,0,1,0,0,Monday,14:00,16:00,NA,Practicals,PBL P,PBL,1,P,NA,Practicals,1,0,1
Botany,0,1,0,0,Tuesday,10:15,12:00,1,Classical Genetics,PBT/PBL/MBL 126 1.0,PBT,1,B1,Prof. P.N.Dasanayake,Lecture,1,0,1
Botany,0,1,0,0,Tuesday,10:15,12:00,1,Principles of Ecology,PBT/PBL/MBL 123 1.0,PBT,1,B1,Dr. M.L.A.M.S. Munasinghe ,Lecture,1,0,2
Botany,0,1,0,0,Wednesday,13:00,15:00,1,Plant Development & Propagation,PBT/PBL/MBL 124 1.0,PBT,1,B1,Prof. W.T.P.S.K.Senarath ,Lecture,1,0,1
Botany,0,1,0,0,Wednesday,13:00,15:00,1,Plant Structure & Function,PBT/PBL/MBL 125 1.0,PBT,1,B1,Prof. W.T.P.S.K.Senarath ,Lecture,1,0,2
Botany,0,1,0,0,Wednesday,15:00,16:00,NA,Tutorial,PBT T,PBT,1,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Wednesday,15:00,16:00,NA,Tutorial,PBL T,PBL,1,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Wednesday,15:00,16:00,NA,Tutorial,MBL T,MBL,1,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Monday,08:00,08:50,NA,Tutorial,PBT T,PBT,2,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Tuesday,08:55,12:00,NA,Practicals,MBL P,MBL,2,P,NA,Practicals,1,0,1
Botany,0,1,0,0,Tuesday,13:00,16:00,NA,Practicals,PBT P,PBT,2,P,NA,Practicals,1,0,1
Botany,0,1,0,0,Tuesday,13:00,16:00,NA,Practicals,PBL P,PBL,2,P,NA,Practicals,1,0,1
Botany,0,1,0,0,Wednesday,13:00,15:00,1,Microbial Genetics,MBL 223 1.0 ,MBL,2,S1,Mrs. C.B.Wijerathna,Lecture,1,0,1
Botany,0,1,0,0,Wednesday,13:00,15:00,2,Molecular Genetics,"
PBT 223 2.0 ","
PB",2,F1,Dr. I. U. Kariyawasam,Lecture,1,0,1
Botany,0,1,0,0,Wednesday,13:00,15:00,1,Plant physiology,"
PBL 224 1.0 
","
PB",2,SLH - Botany,Dr. R.Wimalasekara,Lecture,1,0,1
Botany,0,1,0,0,Wednesday,13:00,15:00,1,Fundamentals of Recombinant DNA Technology,PBL 225 1.0 ,PBL,2,SLH - Botany,Prof. P.N.Dasanayake,Lecture,1,0,2
Botany,0,1,0,0,Thursday,10:15,12:00,1,Phytopathogenic Microorganisms – 1,"MBL 228 1.0
",MBL,2,B1,Ms. H.T.Mandakini,Lecture,1,0,1
Botany,0,1,0,0,Thursday,10:15,12:00,2,Gene Technology,PBT 224 2.0,PBT,2,B2,Prof. P.N.Dasanayake,Lecture,1,0,1
Botany,0,1,0,0,Thursday,10:15,12:00,2,Genetics,PBL 223 2.0 ,PBL,2,SLH - Botany,Dr. I. U. Kariyawasam,Lecture,1,0,1
