Department,Physical,Bio,Food,Sports Science ,Day,Starting Time,Ending Time,Number of Credits,Course Title,Course Code,Subject Code,Academic Year,Location,Lecturer in Charge,Lecture Type,General,Special,Semester Half
Botany,0,1,0,0,Wednesday,08:00,08:50,1,Applications in Nanobiology,MBL 394 1.0,MBL,3,B3,Mrs. C.B.Wijerathna,Lecture,0,1,1
Botany,0,1,0,0,Wednesday,08:55,09:45,1,Marine Biotechnology ,PBT 389 1.0,PBT,3,B3,Dr. I. U. Kariyawasam,Lecture,0,1,1
Botany,0,1,0,0,Wednesday,15:00,17:00,2,Biostatistics and Computer Applications,PBL 387 2.0,PBL,3,NFC4,Dr. C. Wickramarachchi,Lecture,0,1,1
Botany,0,1,0,0,Wednesday,15:00,17:00,2,Biostatistics and Computer Applications,PBT 387 2.0,PBT,3,NFC4,Dr. C. Wickramarachchi,Lecture,0,1,1
Botany,0,1,0,0,Wednesday,15:00,17:00,2,Biostatistics and Computer Applications,MBL 387 2.0,MBL,3,NFC4,Dr. C. Wickramarachchi,Lecture,0,1,1
Botany,0,1,0,0,Thursday,08:00,09:45,2, Advanced Phytotaxonomy,PBL 390 2.0,PBL,3,B3,Dr. I. U. Kariyawasam,Lecture,0,1,1
Botany,0,1,0,0,Thursday,08:00,09:45,2, Advanced Phytotaxonomy,PBT 390 2.0,PBT,3,B3,Dr. I. U. Kariyawasam,Lecture,0,1,1
Botany,0,1,0,0,Thursday,10:15,12:00,1,Fundamentals of GIS,PBL 384 1.0,PBL,3,F3,Dr. Daham Jayawardana,Lecture,0,1,1
Botany,0,1,0,0,Friday,13:00,17:00,NA,Practicals,PBT P,PBT,3,P,NA,Practicals,0,1,1
Botany,0,1,0,0,Friday,13:00,17:00,NA,Practicals,PBL P,PBL,3,P,NA,Practicals,0,1,1
Botany,0,1,0,0,Friday,08:55,12:00,NA,Practicals,MBL P,MBL,3,P,NA,Practicals,0,1,1
Botany,0,1,0,0,Friday,13:00,15:00,1,Advanced Mycology,MBL 393 1.0 ,MBL,3,B2,Dr. Dimuthu Manamgoda ,Lecture,0,1,1
Botany,0,1,0,0,Monday,08:00,09:45,1,Microbial Enzymes in Biotechnology,MBL 485 1.0,MBL,4,SLH - Botany,Dr. R.Wimalasekara,Lecture,0,1,1
Botany,0,1,0,0,Monday,10:15,12:00,2,Introduction to Palynology,PBT 484 2.0 ,PBT,4,B3,Dr. R.Wimalasekara,Lecture,0,1,1
Botany,0,1,0,0,Monday,13:00,15:00,2,Advanced Applied Microbiology,PBL 492 2.0,PBL,4,SLH - Botany,Dr. Anusha Ekanayaka,Lecture,0,1,1
Botany,0,1,0,0,Monday,15:00,16:00,1,Viral Genetics,PBT 495 1.0 ,PBT,4,B2,Dr. Anusha Ekanayaka,Lecture,0,1,1
Botany,0,1,0,0,Monday,16:00,17:00,1,Laboratory Management for Microbiologist,MBL 497 1.0,MBL,4,B3,Mrs. C.B.Wijerathna ,Lecture,0,1,1
Botany,0,1,0,0,Tuesday,08:00,09:45,2,Molecular Diagnosis of Plant Diseases,PBT 499 2.0,PBT,4,B3,Dr. Dimuthu Manamgoda,Lecture,0,1,1
Botany,0,1,0,0,Tuesday,08:00,09:45,2,Molecular Diagnosis of Plant Diseases,MBL 499 2.0,MBL,4,B3,Dr. Dimuthu Manamgoda,Lecture,0,1,1
Botany,0,1,0,0,Tuesday,08:00,08:50,1,Cell Signaling,PBT 486 1.0,PBT,4,B3,Dr. R.Wimalasekara ,Lecture,0,1,1
Botany,0,1,0,0,Tuesday,08:55,09:45,1,Plant Developmental Genetics ,PBT 490 1.0,PBT,4,B3,Dr. R.Wimalasekara ,Lecture,0,1,1
Botany,0,1,0,0,Tuesday,10:15,12:00,2,Environmental Microbiology,MBL 493 2.0,MBL,4,B2,Dr. Anusha Ekanayaka,Lecture,0,1,1
Botany,0,1,0,0,Saturday,08:55,12:00,2,Plant Quarantine,MBL 496 2.0 ,MBL,4,B2,Ms. Champika Hewage,Lecture,0,1,1
Botany,0,1,0,0,Saturday,08:55,12:00,2,Plant Quarantine,PBT 496 2.0 ,PBT,4,B2,Ms. Champika Hewage,Lecture,0,1,1
Botany,0,1,0,0,Saturday,13:00,15:00,2,Crop Protection ,PBL 480 2.0,PBL,4,B2,Dr. Wathsala Udari,Lecture,0,1,1
Botany,0,1,0,0,Sunday,08:55,16:00,2,Advanced Plant Pathology ,MBL 483 2.0,MBL,4,B2,Prof. Renuka Aththanayake,Lecture,0,1,1
Botany,0,1,0,0,Sunday,08:55,16:00,2,Advanced Plant Pathology ,PBL 482 2.0,PBL,4,B2,Prof. Renuka Aththanayake,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,08:00,08:50,1,Organic Chemistry II,"CHE 109 
1.0",CHE,1,C1,Prof. C Padumadasa,Lecture,1,0,1
Chemistry,1,1,0,0,Tuesday,08:00,09:45,2,Introduction to Analytical Chemistry,"CHE 111 
2.0 ",CHE,1,C1,Prof. C D Jayaweera,Lecture,1,0,1
Chemistry,1,1,0,0,Tuesday,16:00,17:00,1,Chemical Thermodynamics,"CHE 103 
1.0 ",CHE,1,C1,Dr. Tharindu Senapathi,Lecture,1,0,1
Chemistry,1,1,0,0,Tuesday,17:00,17:45,NA,Tutorial,CHE T,CHE,1,T,NA,Tutorial,1,0,1
Chemistry,1,1,0,0,Friday,08:55,16:00,NA,Practicals,CHE P,CHE,1,P,NA,Practicals,1,0,1
Chemistry,1,1,0,0,Monday,08:55,16:00,NA,Practicals,CHE P,CHE,2,P,NA,Practicals,1,0,1
Chemistry,1,1,0,0,Wednesday,10:15,11:05,1,Organic Spectroscopy,"CHE 203 
1.0",CHE,2,C1,Prof. Asiri Perera,Lecture,1,0,1
Chemistry,1,1,0,0,Wednesday,11:10,12:00,1,Electrochemistry ,"CHE 204 
1.0",CHE,2,C1,Dr. L Palliyaguru,Lecture,1,0,1
Chemistry,1,1,0,0,Thursday,13:00,14:00,1,Chemistry of Coordination Compounds,"CHE 202 
1.0 ",CHE,2,C1,Dr. Isuri Weerarathne,Lecture,1,0,1
Chemistry,1,1,0,0,Thursday,14:00,15:00,1,Chemical Kinetics,"CHE 206 
1.0",CHE,2,C1,Dr. Imalka Munaweera,Lecture,1,0,1
Chemistry,1,1,0,0,Friday,16:00,17:00,NA,Tutorial,CHE T,CHE,2,T,NA,Tutorial,1,0,1
Chemistry,1,1,0,0,Monday,16:00,17:00,1,Quality Control and Assurance,"CHE 333 
1.0",CHE,3,C1,Dr. Upul Kumarasinghe,Lecture,1,0,1
Chemistry,1,1,0,0,Tuesday,08:00,08:50,1,Industrial Organic Chemistry,"CHE 345 
1.0 ",CHE,3,S1,Dr. Upul Kumarasinghe,Lecture,1,0,1
Chemistry,1,1,0,0,Tuesday,17:00,17:45,1,Basic Chemical Engineering,"CHE 312 
1.0",CHE,3,C1,VL,Lecture,1,0,1
Chemistry,1,1,0,0,Wednesday,08:00,08:50,1,Introduction to Molecular Modeling and Designing,"CHE 340 
1.0 ",CHE,3,C1,Dr. R Jayakody,Lecture,1,0,1
Chemistry,1,1,0,0,Wednesday,08:55,16:00,NA,Practicals,CHE P,CHE,3,P,NA,Practicals,1,0,1
Chemistry,1,1,0,0,Thursday,08:00,08:50,1,Structure and Function of Biomolecules,"CHE 330 
1.0",CHE,3,C1,Prof. P Godakumbura,Lecture,1,0,1
Chemistry,1,1,0,0,Thursday,08:55,09:45,1,Industrial Utilization of Plant Materials,"CHE 302 
1.0",CHE,3,C1,Prof. P Godakumbura,Lecture,1,0,1
Chemistry,1,1,0,0,Monday,08:00,09:45,2,Organic synthesis and industrial applications,ICH 363 2.0,ICH,3,C3,Dr. Upul Kumarasinghe,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,10:15,11:05,1,Spectroscopic techniques for identification of organic compounds,ICH 365 1.0,ICH,3,C3,Prof. C Padumadasa,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,13:00,14:00,2,Chemical kinetics and thermodynamics,ICH 373 2.0,ICH,3,C3,Dr. L Palliyaguru - Dr. Tharindu Senapathi ,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,15:00,17:00,2,Food chemistry and technology,ICH 369 2.0,ICH,3,C3,Prof. P Godakumbura,Lecture,0,1,1
Chemistry,1,1,0,0,Tuesday,08:55,16:00,NA,Practicals,ICH P,ICH,3,P,NA,Practicals,0,1,1
Chemistry,1,1,0,0,Wednesday,08:00,09:45,2,Molecular modelling and computational chemistry,ICH 370 2.0,ICH,3,C3,Dr. R Jayakody,Lecture,0,1,1
Chemistry,1,1,0,0,Thursday,08:55,09:45,1,Spectroscopic techniques for identification of inorganic complexes,ICH 364 1.0,ICH,3,C3,Prof. NT Perera,Lecture,0,1,1
Chemistry,1,1,0,0,Thursday,10:15,12:00,2,Microscopic and scattering techniques,ICH 367 2.0,ICH,3,C4,Dr. L Palliyaguru - Dr. S Rajapaksha,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,08:00,08:50,1,Alternative energy sources and energy storage devices,ICH 457 1.0,ICH,4,SCR,Dr. Isuri Weerarathne,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,10:15,12:00,2,Petroleum chemistry and petrochemical industry,ICH 476 2.0,ICH,4,SCR,VL,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,13:00,15:00,2,"Quality assurance, accreditation and project management",ICH 484 2.0,ICH,4,SCR,VL,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,10:15,11:05,1,Advanced Organic Spectroscopy,CHE 358 1.0,CHE,3,C3,Prof. C Padumadasa,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,11:10,12:00,1,Advanced Coordination Chemistry,CHE 367 1.0,CHE,3,C3,Dr. M Kartunaratne,Lecture,0,1,1
Chemistry,1,1,0,0,Tuesday,08:00,08:50,1,Advanced Quantum Chemistry,CHE 362 1.0,CHE,3,C3,Dr. R Jayakody,Lecture,0,1,1
Chemistry,1,1,0,0,Tuesday,08:55,16:00,NA,Practicals,CHE P,CHE,3,P,NA,Practicals,0,1,1
Chemistry,1,1,0,0,Wednesday,10:15,11:05,1,Natural Product Chemistry,CHE 384 1.0,CHE,3,C4,Dr. I Fernando,Lecture,0,1,1
Chemistry,1,1,0,0,Wednesday,11:10,12:00,1,Inorganic Reaction Mechanisms,CHE 354 1.0,CHE,3,C4,Dr. Imalka Munaweera,Lecture,0,1,1
Chemistry,1,1,0,0,Thursday,08:00,08:50,1,Structural Chemistry,CHE 353 1.0,CHE,3,C3,Dr. M Kartunaratne,Lecture,0,1,1
Chemistry,1,1,0,0,Thursday,08:55,09:45,1,Spectroscopic Methods in Inorganic Chemistry,CHE 352 1.0,CHE,3,C3,Prof. NT Perera,Lecture,0,1,1
Chemistry,1,1,0,0,Thursday,10:15,11:05,1,Asymmetric Organic Synthesis ,CHE 385 1.0,CHE,3,C3,Dr. Upul Kumarasinghe,Lecture,0,1,1
Chemistry,1,1,0,0,Thursday,11:10,12:00,1,Biochemistry,CHE 371 1.0,CHE,3,C3,Prof. P Godakumbura,Lecture,0,1,1
Chemistry,1,1,0,0,Thursday,13:00,14:00,1,Advanced Chemical Kinetics,CHE 361 1.0,CHE,3,C3,Dr. Tharindu Senapathi,Lecture,0,1,1
Chemistry,1,1,0,0,Friday,10:15,11:05,1,Molecular Photochemistry,CHE 369 1.0,CHE,3,C3,Dr. S Rajapaksha ,Lecture,0,1,1
Chemistry,1,1,0,0,Friday,11:10,12:00,1,Diffraction Methods in Chemistry,CHE 365 1.0,CHE,3,C3,Prof. N Kottegoda,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,10:15,11:05,1,Solid State Chemistry,CHE 476 1.0,CHE,4,C4,Prof. N Kottegoda,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,11:10,12:00,1,Polymer Chemistry ,CHE 456 1.0,CHE,4,C4,Prof. Thilini Gunasekara,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,13:00,14:00,1,New Trends in Organic Synthesis,CHE 401 1.0,CHE,4,C4,Dr. Laksiri Weerasinghe,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,14:00,15:00,1,Advanced Surface Chemistry,CHE 458 1.0,CHE,4,C4,Dr. L Palliyaguru,Lecture,0,1,1
Chemistry,1,1,0,0,Monday,16:00,17:00,1,Quality Control and Assurance,CHE 485 1.0,CHE,4,C1,Dr. Ushantha Jayalath,Lecture,0,1,1
Chemistry,1,1,0,0,Tuesday,08:00,08:50,1,Polymer Technology,CHE 464 1.0,CHE,4,C4,Dr. Chandima Narangoda,Lecture,0,1,1
Chemistry,1,1,0,0,Tuesday,10:15,11:05,1,Chemistry of plant products and their applications in industry,CHE 466 1.0,CHE,4,C4,Prof. P Godakumbura,Lecture,0,1,1
Chemistry,1,1,0,0,Tuesday,11:10,12:00,1,Basic Chemical Engineering,CHE 461 1.0,CHE,4,C4,VL,Lecture,0,1,1
Chemistry,1,1,0,0,Tuesday,13:00,14:00,1,Medicinal Chemistry,CHE 454 1.0,CHE,4,C4,Dr. Upul Kumarasinghe,Lecture,0,1,1
Chemistry,1,1,0,0,Wednesday,08:55,09:45,1,Supramolecular Chemistry,CHE 491 1.0,CHE,4,C4,Dr. I Fernando,Lecture,0,1,1
Chemistry,1,1,0,0,Wednesday,11:10,12:00,1,Atmospheric Chemistry,CHE 498 1.0,CHE,4,C4,Prof. C D Jayaweera,Lecture,0,1,1
Chemistry,1,1,0,0,Wednesday,13:00,14:00,1,Molecular Spectroscopy,CHE 457 1.0,CHE,4,C4,Prof. N Kottegoda,Lecture,0,1,1
Polymer Science,1,1,0,0,Monday,08:55,11:05,3,Polymeric Materials,PSC 104 3.0,PSC,1,C2,Prof. Laleen Karunanayake - Dr. Dammika Weerathunga,Lecture,1,0,1
Polymer Science,1,1,0,0,Monday,08:00,09:45,NA,Tutorial,PSC T,PSC,2,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Monday,10:15,11:05,1,Polymer Blends and Composite,PST 301 1.0,PST,3,C2,Dr. Thusitha Etampawala,Lecture,1,0,1
Polymer Science,1,1,0,0,Monday,11:10,12:00,1,Introduction to Engineering Materials,PST 313 1.0,PST,3,C2,Dr. Sulashi Samarasinghe,Lecture,1,0,1
Polymer Science,1,1,0,0,Tuesday,13:00,14:00,3,Polymeric Materials,PSC 104 3.0,PSC,1,C1,Prof. Laleen Karunanayake - Dr. Dammika Weerathunga,Lecture,1,0,1
Polymer Science,1,1,0,0,Tuesday,14:00,15:00,NA,Tutorial,PSC T,PSC,1,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Tuesday,08:55,09:45,1,Polymer Kinetics,PSC 205 1.0,PSC,2,C2,Dr. Madhubhashini Maddumaarachchi,Lecture,1,0,1
Polymer Science,1,1,0,0,Tuesday,13:00,15:00,2,Polymer Characterization,PSC 202 2.0,PSC,2,C2,Prof. Thilini Gunasekara,Lecture,1,0,1
Polymer Science,1,1,0,0,Tuesday,15:00,16:00,NA,Tutorial,PSC T,PSC,2,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Tuesday,08:55,12:00,NA,Practical,PST P,PST,3,P,NA,Practicals,1,0,1
Polymer Science,1,1,0,0,Tuesday,13:00,15:00,2,Polymers in Textile Industry,PSC 318 2.0,PSC,3,C3,Dr. Sulashi Samarasinghe,Lecture,1,0,1
Polymer Science,1,1,0,0,Wednesday,08:55,09:45,NA,Tutorial,PST T,PST,1,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Wednesday,10:15,12:00,2,Polymer Degradation,PST 103 2.0,PST,1,C2,Prof. Thilini Gunasekara,Lecture,1,0,1
Polymer Science,1,1,0,0,Wednesday,17:00,17:45,NA,Tutorial,PST T,PST,1,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Wednesday,17:00,17:45,NA,Tutorial,PST T,PST,2,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Thursday,10:15,11:05,NA,Tutorial,PSC T,PSC,1,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Thursday,13:00,15:00,NA,Tutorial,PSC T,PSC,1,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Thursday,08:00,09:45,2,Polymer Processing and Product Testing,PSC 206 2.0,PSC,2,C2,Prof. Shantha Walpalage - Dr. Dammika Weerathunga,Lecture,1,0,1
Polymer Science,1,1,0,0,Thursday,10:15,12:00,2,Introduction to Waste Water Treatment processes in Polymer Industry,PST 314 2.0,PST,3,C2,Dr. Dammika Weerathunga,Lecture,1,0,1
Polymer Science,1,1,0,0,Thursday,13:00,14:00,1,Environment and Polymer Industry,PST 315 1.0,PST,3,NFC6,Prof. S.D.M. Chinthaka,Lecture,1,0,1
Polymer Science,1,1,0,0,Thursday,14:00,15:00,NA,Tutorial,PST T,PST,3,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Friday,08:00,08:50,NA,Tutorial,PST T,PST,1,T,NA,Tutorial,1,0,1
Polymer Science,1,1,0,0,Friday,08:55,16:00,NA,Practical,PST P,PST,2,P,NA,Practicals,1,0,1
Polymer Science,1,1,0,0,Monday,08:55,12:00,NA,Practical,PCH P,PCH,3,P,NA,Practicals,0,1,1
Polymer Science,1,1,0,0,Monday,13:00,16:00,NA,Practical,PCH P,PCH,3,P,NA,Practicals,0,1,1
Polymer Science,1,1,0,0,Tuesday,08:55,11:05,2,Polymer Industry and Its Environment Impact,PCH 364 2.0,PCH,3,NFC6,Prof. S.D.M. Chinthaka,Lecture,0,1,1
Polymer Science,1,1,0,0,Tuesday,11:10,12:00,2,Advanced Concepts in Thermodynamics and Statistical Thermodynamics,PCH 371 2.0,PCH,3,NFC6,Dr. Thusitha Etampawala,Lecture,0,1,1
Polymer Science,1,1,0,0,Tuesday,13:00,15:00,2,Polymers in Textile Industry,PCH 369 2.0,PCH,3,C3,Dr. Sulashi Samarasinghe,Lecture,0,1,1
Polymer Science,1,1,0,0,Tuesday,15:00,16:00,2,Organic Synthesis,PCH 370 2.0,PCH,3,C2,Dr. Sampath Gunathilaka,Lecture,0,1,1
Polymer Science,1,1,0,0,Wednesday,08:00,08:50,1,Molecular Modeling and Computational Chemistry,PCH 365 1.0,PCH,3,Online,Dr. Ranga Jayakody,Lecture,0,1,1
Polymer Science,1,1,0,0,Wednesday,08:55,12:00,NA,Practical,PCH P,PCH,3,P,NA,Practicals,0,1,1
Polymer Science,1,1,0,0,Wednesday,13:00,16:00,NA,Practical,PCH P,PCH,3,P,NA,Practicals,0,1,1
Polymer Science,1,1,0,0,Wednesday,16:00,17:00,2,Organic Synthesis,PCH 370 2.0,PCH,3,C2,Dr. Sampath Gunathilaka,Lecture,0,1,1
Polymer Science,1,1,0,0,Thursday,08:00,08:50,2,Advanced Concepts in Thermodynamics and Statistical Thermodynamics,PCH 371 2.0,PCH,3,NFC6,Dr. Thusitha Etampawala,Lecture,0,1,1
Polymer Science,1,1,0,0,Thursday,10:15,12:00,2,Advanced Organic and Inorganic Spectroscopy,PCH 360 2.0,PCH,3,NFC6,Dr. Narangoda,Lecture,0,1,1
Polymer Science,1,1,0,0,Thursday,14:00,15:00,1,Degradable Polymer Technology,PCH 356 1.0,PCH,3,C2,Prof. Thilini Gunasekara,Lecture,0,1,1
Polymer Science,1,1,0,0,Monday,13:00,15:00,2,Current Trends in Polymer Science,PCH 457 2.0,PCH,4,NFC6,All,Lecture,0,1,1
Polymer Science,1,1,0,0,Thursday,10:15,11:05,1,Analysis of Macromolecules,PCH 465 1.0,PCH,4,C3,Dr. Madhubhashini Maddumaarachchi,Lecture,0,1,1
Polymer Science,1,1,0,0,Thursday,13:00,14:00,1,Advanced Inorganic Polymers,PCH 462 1.0,PCH,4,C2,Dr. Sampath Gunathilaka,Lecture,0,1,1
Polymer Science,1,1,0,0,Friday,10:15,12:00,2,Advanced Polymer Materials,PCH 458 2.0,PCH,4,C2,Dr. Sampath Gunathilaka,Lecture,0,1,1
Polymer Science,1,1,0,0,Friday,13:00,14:00,1,Finite Element Analysis,PCH 456 1.0,PCH,4,C2,Prof. Shantha Walpalage,Lecture,0,1,1
Sports Science,0,0,0,1,Monday,08:00,09:45,2,Basic Biochemistry,SSM 106 2.0,SSM,1,NFC6,Dr. S. Weerasinghe,Lecture,0,1,1
Sports Science,0,0,0,1,Monday,10:15,12:00,1,General Anatomy I,SSM 125 1.0,SSM,1,O,NA,Lecture,0,1,1
Sports Science,0,0,0,1,Monday,13:00,15:00,2,Sports Biomechanics,SSM 108 2.0,SSM,1,NFC6,Mr. K.P. Manawadu - Mr. K.P.I. Silva,Lecture,0,1,1
Sports Science,0,0,0,1,Monday,15:00,17:00,2,Aerobics for Health Promotion,SSM 192 2.0,SSM,1,NFC6,Ms. Kalani Harshala - Mr. D.S.L. Perera,Lecture,0,1,1
Sports Science,0,0,0,1,Monday,08:00,11:05,2,FMSA of Coordination Sports Hockey,SSM 293 2.0,SSM,2,O,Dr. S.K. Fernando,Lecture,0,1,1
Sports Science,0,0,0,1,Monday,14:00,17:00,2,FMSA of Coordination Sports Cricket,SSM 293 2.0,SSM,2,O,Mr. L.H.M.P. De Silva,Lecture,0,1,1
Sports Science,0,0,0,1,Monday,10:15,12:00,2,Operations Research in Sports,SSM 367 2.0,SSM,3,NFC6,Dr. H.P.N. Perera,Lecture,0,1,1
Sports Science,0,0,0,1,Monday,13:00,15:00,2,Financial Management,SSM 364 2.0,SSM,3,B2,Ms. M.H. Kumaragamage,Lecture,0,1,1
Sports Science,0,0,0,1,Tuesday,10:15,12:00,1,Physiology I,SSM 124 1.0,SSM,1,O,NA,Lecture,0,1,1
Sports Science,0,0,0,1,Tuesday,15:00,16:00,1,Sports Sociology,SSM 155 1.0,SSM,1,NFC6,Dr. S.K. Fernando,Lecture,0,1,1
Sports Science,0,0,0,1,Tuesday,16:00,17:00,NA,Tutorial,SSM T,SSM,1,T,NA,Tutorial,0,1,1
Sports Science,0,0,0,1,Tuesday,08:00,09:45,2,Financial Accounting,SSM 260 2.0,SSM,2,NFC6,Dr. H.P.N. Perera,Lecture,0,1,1
Sports Science,0,0,0,1,Tuesday,10:15,12:00,2,Applied Sports and Ex. Psychol.,SSM 254 2.0,SSM,2,NFC6,Mrs. A.M.G.C.P. Adikari,Lecture,0,1,1
Sports Science,0,0,0,1,Tuesday,13:00,16:00,2,Mixed Martial ArtsTaekwondo,SSM 294 2.0,SSM,2,O,Miss. Shalini Bandara Dissanayake,Lecture,0,1,1
Sports Science,0,0,0,1,Tuesday,08:00,09:45,NA,Practical,SSM P,SSM,3,P,NA,Practicals,0,1,1
Sports Science,0,0,0,1,Tuesday,13:00,15:00,2,Sports for Special Population,SSM 388 2.0,SSM,3,NFC6,Mr. D.S.L. Perera - Dr. M.A.S. Udayanga,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,10:15,12:00,1,Introduction to Mathematical Software,SSM 111 1.0 ,SSM,1,M1,Dr. M.T.M. Perera - Mr. Chameera Ginige,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,13:00,16:00,1,FMSA Gymnastics,SSM 191 1.0,SSM,1,O,Ms. Chalanima Kariyawasam,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,08:00,09:45,2,Exercise andSports Physiology,SSM 225 2.0,SSM,2,NFC6,Mrs. A.M.G.C.P. Adikari - Dr. M.A.S. Udayanga,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,10:15,12:00,2,Mixed Martial Arts Wrestling,SSM 294 2.0 ,SSM,2,O,Mr. Hansaka Kapukotuwa - Mrs. Sandakan Tharaka,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,13:00,14:00,2,Mixed Martial Arts Wrestling,SSM 294 2.0 ,SSM,2,O,Mr. Hansaka Kapukotuwa - Mrs. Sandakan Tharaka,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,14:00,15:00,1,LTAD,SSM 272 1.0 ,SSM,2,NFC6,Dr. M.A.S. Udayanga,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,08:00,09:45,2,Dietetics,SSM 375 2.0,SSM,3,NFC6,Dr. S. Weerasinghe,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,10:15,12:00,2,Sport Org. Behaviour,SSM 366 2.0,SSM,3,NFC6,Mr. A.L.K.R. Fernando - Ms. M.H. Kumaragamage,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,13:00,15:00,2,Analytic Methods in Sports,SSM 374 2.0,SSM,3,NFC6,Dr. R. Silva,Lecture,0,1,1
Sports Science,0,0,0,1,Wednesday,15:00,17:00,1,Advanced Training Methods in Selected Sports,SSM 390 1.0,SSM,3,NFC6,Mr. K.P. Manawadu - Mr. L.H.M.P. De Silva,Lecture,0,1,1
Sports Science,0,0,0,1,Thursday,08:00,12:00,1,FMSA of Athletics II,SSM 189 1.0,SSM,1,O,Mr. L.H.M.P. De Silva,Lecture,0,1,1
Sports Science,0,0,0,1,Thursday,13:00,15:00,3,FMSA of Ball GamesBasketball,SSM 190 3.0,SSM,1,O,Mr. K.P.I. Silva,Lecture,0,1,1
Sports Science,0,0,0,1,Thursday,08:00,09:45,2,Analytic Methods in Sports,SSM 203 2.0,SSM,2,NFC6,Dr. R. Silva - Mr. K.P.I. Silva,Lecture,0,1,1
Sports Science,0,0,0,1,Thursday,10:15,12:00,2,Strength and Conditioning,SSM 271 2.0,SSM,2,NFC6,Mr. K.P. Manawadu,Lecture,0,1,1
Sports Science,0,0,0,1,Thursday,13:00,15:00,0,Professional Skills Development II,SSM 216 0.0,SSM,2,O,Ms. L.Y.K. Mendis,Lecture,0,1,1
Sports Science,0,0,0,1,Thursday,08:00,12:00,2,Practicum in Sports and Physical Education,SSM 352 2.0,SSM,3,O,Mr. D.S.L. Perera,Lecture,0,1,1
Sports Science,0,0,0,1,Thursday,13:00,14:00,2,Practicum in Sports and Physical Education,SSM 352 2.0,SSM,3,NFC6,Mr. D.S.L. Perera,Lecture,0,1,1
Sports Science,0,0,0,1,Thursday,14:00,15:00,NA,Tutorial,SSM T,SSM,3,T,NA,Tutorial,0,1,1
Sports Science,0,0,0,1,Friday,08:00,11:05,3,FMSA of Ball Games Football,SSM 190 3.0,SSM,1,O,Mrs. Sandakan Tharaka,Lecture,0,1,1
Sports Science,0,0,0,1,Friday,13:00,15:00,3,FMSA of Ball Games Netball,SSM 190 3.0,SSM,1,O,Mrs. Sandakan Tharaka,Lecture,0,1,1
Sports Science,0,0,0,1,Friday,08:00,11:05,2,Mixed Martial ArtsBoxing,SSM 294 2.0,SSM,2,O,Mr. Gihan Maduwantha - Mr. Chameera Ginige,Lecture,0,1,1
Sports Science,0,0,0,1,Friday,14:00,17:00,2,FMSA of Coordination Sports Baseball,SSM 293 2.0,SSM,2,O,Mr. Vihanga De Silva - Mr. L.H.M.P. De Silva,Lecture,0,1,1
Sports Science,0,0,0,1,Friday,08:00,09:45,2,Practicum in Sports and Physical Education,SSM 352 2.0,SSM,3,O,Mr. D.S.L. Perera,Lecture,0,1,1
Sports Science,0,0,0,1,Friday,10:15,12:00,2,Sport Ent. and Business Dev.,SSM 365 2.0,SSM,3,NFC6,Mr. A.L.K.R. Fernando,Lecture,0,1,1
Sports Science,0,0,0,1,Friday,13:00,15:00,2,Practicum in Sports and Physical Education,SSM 352 2.0,SSM,3,B2,Mr. D.S.L. Perera,Lecture,0,1,1
Sports Science,0,0,0,1,Friday,08:00,09:45,2,Sp. Event Management,SSM 463 2.0,SSM,4,NFC6,Mr. A.L.K.R. Fernando - Ms. M.H. Kumaragamage,Lecture,0,1,1
Sports Science,0,0,0,1,Friday,10:15,12:00,2,Dietetics,SSM 403 2.0,SSM,4,NFC6,Dr. S. Weerasinghe,Lecture,0,1,1
