Department,Day,Starting.Time,Ending.Time,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,Lecturer.in.charge,Lecture.Time,Degree.Type,Stream
Computer Science,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Object Oriented Programming,CSC 110 2.0,CSC,CSC 110 2.0  Object Oriented Programming,1,NFC3,Lecture,Dr. TMKK Jinasena,10:15-12:00,General,Physical
Computer Science,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Practicals,CSC P,CSC,CSC P Practicals,1,P,Practicals,NA,13:00-15:00,General,Physical
Computer Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Tutorial,CSC T,CSC,CSC T Tutorial,1,T,Tutorial,NA,08:00-08:50,General,Physical
Computer Science,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Practicals,CSC P,CSC,CSC P Practicals,1,P,Practicals,NA,13:00-15:00,General,Physical
Computer Science,Friday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Practicals,CSC P,CSC,CSC P Practicals,1,P,Practicals,NA,10:15-12:00,General,Physical
Computer Science,Monday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Database Management Systems,CSC 209 2.0,CSC,CSC 209 2.0 Database Management Systems,2,NFC3,Lecture,Dr. S Tissera,10:15-12:00,General,Physical
Computer Science,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Computer Graphics,CSC 210 1.0,CSC,CSC 210 1.0 Computer Graphics,2,NFC4,Lecture,Prof. RGN Meegama,08:00-09:45,General,Physical
Computer Science,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Operating Systems,CSC 208 2.0,CSC,CSC 208 2.0  Operating Systems,2,NFC4,Lecture,Mr. MDR Perera,10:15-12:00,General,Physical
Computer Science,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Practicals,CSC P,CSC,CSC P Practicals,2,P,Practicals,NA,10:15-12:00,General,Physical
Computer Science,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Tutorial,CSC T,CSC,CSC T Tutorial,2,T,Tutorial,NA,13:00-15:00,General,Physical
Computer Science,Monday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Operations Research,CSC 355 2.0,CSC,CSC 355 2.0 Operations Research,3,Stat Lab,Lecture,Mr. DDA Gamini,08:00-09:45,Special,Physical
Computer Science,Monday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Net Centric Computing,CSC 315 1.5,CSC,CSC 315 1.5 Net Centric Computing,3,NFC4,Lecture,Prof. RGN Meegama,13:00-15:00,General,Physical
Computer Science,Monday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Net Centric Computing,CSC 315 1.5,CSC,CSC 315 1.5 Net Centric Computing,3,NFC4,Lecture,Prof. RGN Meegama,13:00-15:00,Special,Physical
Computer Science,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Software Quality Assurance,CSC 365 2.0,CSC,CSC 365 2.0 Software Quality Assurance,3,PLT,Lecture,Dr. EATA Edirisuriya,08:00-09:45,General,Physical
Computer Science,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Software Quality Assurance,CSC 365 2.0,CSC,CSC 365 2.0 Software Quality Assurance,3,PLT,Lecture,Dr. EATA Edirisuriya,08:00-09:45,Special,Physical
Computer Science,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Swarm Intelligence,CSC 361 2.0,CSC,CSC 361 2.0 Swarm Intelligence,3,NFC4,Lecture,Ms. MKA Ariyaratne,13:00-15:00,General,Physical
Computer Science,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Swarm Intelligence,CSC 361 2.0,CSC,CSC 361 2.0 Swarm Intelligence,3,NFC4,Lecture,Ms. MKA Ariyaratne,13:00-15:00,Special,Physical
Computer Science,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Artificial Intelligence,CSC 316 2.0,CSC,CSC 316 2.0 Artificial Intelligence,3,NFC3,Lecture,Mr. DDA Gamini,08:00-09:45,General,Physical
Computer Science,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Artificial Intelligence,CSC 316 2.0,CSC,CSC 316 2.0 Artificial Intelligence,3,NFC3,Lecture,Mr. DDA Gamini,08:00-09:45,Special,Physical
Computer Science,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Human Computer Interaction,CSC 317 1.5,CSC,CSC 317 1.5 Human Computer Interaction,3,NFC3,Lecture,Dr. PRS De Silva,13:00-15:00,General,Physical
Computer Science,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Human Computer Interaction,CSC 317 1.5,CSC,CSC 317 1.5 Human Computer Interaction,3,NFC3,Lecture,Dr. PRS De Silva,13:00-15:00,Special,Physical
Computer Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Practicals,CSC P,CSC,CSC P Practicals,3,P,Practicals,NA,08:00-09:45,General,Physical
Computer Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Theory of Programming Languages,CSC 377 2.0,CSC,CSC 377 2.0  Theory of Programming Languages,3,NFC3,Lecture,Ms. MKA Ariyaratne,08:00-09:45,Special,Physical
Computer Science,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Machine Learning II,CSC 375 2.0,CSC,CSC 375 2.0  Machine Learning II,3,LCS2,Lecture,Prof. TGI Fernando,10:15-12:00,Special,Physical
Computer Science,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Embedded Systems and Internet of Things,CSC 376 1.5,CSC,CSC 376 1.5 Embedded Systems and Internet of Things,3,LCS2,Lecture,Mr. MDR Perera,13:00-15:00,Special,Physical
Botany,Monday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,Practicals,MBL P,MBL,MBL P Practicals,1,P,Practicals,NA,08:55-12:00,General,Biology
Botany,Monday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,Practicals,PBT P,PBT,PBT P Practicals,1,P,Practicals,NA,13:00-16:00,General,Biology
Botany,Monday,1970-01-01T14:00:00Z,1970-01-01T16:00:00Z,Practicals,PBL P,PBL,PBL P Practicals,1,P,Practicals,NA,14:00-16:00,General,Biology
Botany,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Classical Genetics,PBT/PBL/MBL 126 1.0,PBT/PBL/MBL,PBT/PBL/MBL 126 1.0 Classical Genetics,1,B1,Lecture,Prof. P.N.Dasanayake,10:15-12:00,General,Biology
Botany,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Principles of Ecology,PBT/PBL/MBL 123 1.0,PBT/PBL/MBL,PBT/PBL/MBL 123 1.0 Principles of Ecology,1,B1,Lecture,Dr. M.L.A.M.S. Munasinghe,10:15-12:00,General,Biology
Botany,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Plant Development & Propagation,PBT/PBL/MBL 124 1.0,PBT/PBL/MBL,PBT/PBL/MBL 124 1.0 Plant Development & Propagation,1,B1,Lecture,Prof. W.T.P.S.K.Senarath,13:00-15:00,General,Biology
Botany,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Plant Structure & Function,PBT/PBL/MBL 125 1.0,PBT/PBL/MBL,PBT/PBL/MBL 125 1.0 Plant Structure & Function,1,B1,Lecture,Prof. W.T.P.S.K.Senarath,13:00-15:00,General,Biology
Botany,Wednesday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Tutorial,PBT T,PBT,PBT T Tutorial,1,T,Tutorial,NA,15:00-16:00,General,Biology
Botany,Wednesday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Tutorial,PBL T,PBL,PBL T Tutorial,1,T,Tutorial,NA,15:00-16:00,General,Biology
Botany,Wednesday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Tutorial,MBL T,MBL,MBL T Tutorial,1,T,Tutorial,NA,15:00-16:00,General,Biology
Botany,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Tutorial,PBT T,PBT,PBT T Tutorial,2,T,Tutorial,NA,08:00-08:50,General,Biology
Botany,Tuesday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,Practicals,MBL P,MBL,MBL P Practicals,2,P,Practicals,NA,08:55-12:00,General,Biology
Botany,Tuesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,Practicals,PBT P,PBT,PBT P Practicals,2,P,Practicals,NA,13:00-16:00,General,Biology
Botany,Tuesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,Practicals,PBL P,PBL,PBL P Practicals,2,P,Practicals,NA,13:00-16:00,General,Biology
Botany,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Microbial Genetics,MBL 223 1.0,MBL,MBL 223 1.0  Microbial Genetics,2,S1,Lecture,Mrs. C.B.Wijerathna,13:00-15:00,General,Biology
Botany,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Molecular Genetics,"
PBT 223 2.0",PBT,"
PBT 223 2.0  Molecular Genetics",2,F1,Lecture,Dr. I. U. Kariyawasam,13:00-15:00,General,Biology
Botany,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Plant Physiology,"
PBL 224 1.0 
",PBL,"
PBL 224 1.0 
 Plant Physiology",2,SLH - Botany,Lecture,Dr. R.Wimalasekara,13:00-15:00,General,Biology
Botany,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Fundamentals of Recombinant DNA Technology,PBL 225 1.0,PBL,PBL 225 1.0  Fundamentals of Recombinant DNA Technology,2,SLH - Botany,Lecture,Prof. P.N.Dasanayake,13:00-15:00,General,Biology
Botany,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Phytopathogenic Microorganisms – 1,"MBL 228 1.0
",MBL,"MBL 228 1.0
 Phytopathogenic Microorganisms – 1",2,B1,Lecture,Ms. H.T.Mandakini,10:15-12:00,General,Biology
Botany,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Gene Technology,PBT 224 2.0,PBT,PBT 224 2.0 Gene Technology,2,B2,Lecture,Prof. P.N.Dasanayake,10:15-12:00,General,Biology
Botany,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Genetics,PBL 223 2.0,PBL,PBL 223 2.0  Genetics,2,SLH - Botany,Lecture,Dr. I. U. Kariyawasam,10:15-12:00,General,Biology
Botany,Friday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Tutorial,PBL T,PBL,PBL T Tutorial,2,T,Tutorial,NA,08:55-09:45,General,Biology
Botany,Friday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Tutorial,MBL T,MBL,MBL T Tutorial,2,T,Tutorial,NA,08:55-09:45,General,Biology
Botany,Friday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Tutorial,PBT T,PBT,PBT T Tutorial,2,T,Tutorial,NA,13:00-14:00,General,Biology
Botany,Friday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Tutorial,PBL T,PBL,PBL T Tutorial,2,T,Tutorial,NA,13:00-14:00,General,Biology
Botany,Friday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Tutorial,MBL T,MBL,MBL T Tutorial,2,T,Tutorial,NA,13:00-14:00,General,Biology
Botany,Monday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Industrial Biotechnology,PBT 325 2.0,PBT,PBT 325 2.0 Industrial Biotechnology,3,A1,Lecture,Dr. Kasun Thambugala,08:00-09:45,General,Biology
Botany,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Economic Botany,PBL 321 1.0,PBL,PBL 321 1.0  Economic Botany,3,B2,Lecture,Mrs. C.B.Wijerathna,08:00-08:50,General,Biology
Botany,Monday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Plant Resources,PBL 325 1.0,PBL,PBL 325 1.0  Plant Resources,3,B2,Lecture,Mrs. C.B.Wijerathna,08:55-09:45,General,Biology
Botany,Monday,1970-01-01T14:00:00Z,1970-01-01T16:00:00Z,Industrial Management,MBL 326 1.0,MBL,MBL 326 1.0  Industrial Management,3,B1,Lecture,Mrs. M.W.Kalyani,14:00-16:00,General,Biology
Botany,Monday,1970-01-01T14:00:00Z,1970-01-01T16:00:00Z,Food & Dairy Microbiology,MBL 323 1.0,MBL,MBL 323 1.0  Food & Dairy Microbiology,3,B1,Lecture,Ms. H.T.Mandakini,14:00-16:00,General,Biology
Botany,Tuesday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Medical Biotechnology,PBT 324.1.0,PBT,PBT 324.1.0 Medical Biotechnology,3,B1,Lecture,Mrs. W.A.S.Wijendra,15:00-16:00,General,Biology
Botany,Tuesday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Applied Microbiology,PBL 326 1.0,PBL,PBL 326 1.0 Applied Microbiology,3,B3,Lecture,Ms. H.T.Mandakini,15:00-16:00,General,Biology
Botany,Tuesday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,Bioinformatics & Molecular Modeling,PBT 327 1.0,PBT,PBT 327 1.0 Bioinformatics & Molecular Modeling,3,B1,Lecture,Dr. I. U. Kariyawasam,16:00-17:00,General,Biology
Botany,Wednesday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,Tutorial,PBL T,PBL,PBL T Tutorial,3,T,Tutorial,NA,16:00-17:00,General,Biology
Botany,Thursday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Medical Microbiology,MBL 324 1.0,MBL,MBL 324 1.0 Medical Microbiology,3,B1,Lecture,Dr. Janani Kottahachchi,13:00-14:00,General,Biology
Botany,Thursday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Bioinformatics & Molecular Modeling,MBL 327 1.0,MBL,MBL 327 1.0 Bioinformatics & Molecular Modeling,3,B1,Lecture,Dr. I. U. Kariyawasam,14:00-15:00,General,Biology
Botany,Friday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Tutorial,PBT T,PBT,PBT T Tutorial,3,T,Tutorial,NA,08:00-08:50,General,Biology
Botany,Friday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Tutorial,MBL T,MBL,MBL T Tutorial,3,T,Tutorial,NA,08:00-08:50,General,Biology
Botany,Saturday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,Practicals,PBL P,PBL,PBL P Practicals,3,P,Practicals,NA,13:00-16:00,General,Biology
Botany,Sunday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,Practicals,PBL P,PBL,PBL P Practicals,3,P,Practicals,NA,13:00-16:00,General,Biology
Botany,Monday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,Practicals,MBL P,MBL,MBL P Practicals,3,P,Practicals,NA,08:55-12:00,General,Biology
Botany,Monday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Plant Synthetic Biology,PBT 393 1.0,PBT,PBT 393 1.0  Plant Synthetic Biology,3,B2,Lecture,Dr. R.Wimalasekara,10:15-11:05,Special,Biology
Botany,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Microbial Biochemistry,MBL 383 1.0,MBL,MBL 383 1.0 Microbial Biochemistry,3,B2,Lecture,Dr. R.Wimalasekara,11:10-12:00,Special,Biology
Botany,Monday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,Advanced Microbial Genetics,PBT 386 1.0,PBT,PBT 386 1.0 Advanced Microbial Genetics,3,B2,Lecture,Dr. Anusha Ekanayaka,16:00-17:00,Special,Biology
Botany,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Microbes in Pest Management,MBL 382 2.0,MBL,MBL 382 2.0 Microbes in Pest Management,3,B3,Lecture,Dr. Wathsala Udari,13:00-15:00,Special,Biology
Botany,Tuesday,1970-01-01T17:00:00Z,1970-01-01T17:45:00Z,Advanced Genetics,PBL 386 1.0,PBL,PBL 386 1.0 Advanced Genetics,3,B3,Lecture,Dr. I. U. Kariyawasam,17:00-17:45,Special,Biology
Botany,Wednesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Applications in Nanobiology,PBT 394 1.0,PBT,PBT 394 1.0 Applications in Nanobiology,3,B3,Lecture,Mrs. C.B.Wijerathna,08:00-08:50,Special,Biology
Botany,Wednesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Applications in Nanobiology,MBL 394 1.0,MBL,MBL 394 1.0 Applications in Nanobiology,3,B3,Lecture,Mrs. C.B.Wijerathna,08:00-08:50,Special,Biology
Botany,Wednesday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Marine Biotechnology,PBT 389 1.0,PBT,PBT 389 1.0 Marine Biotechnology,3,B3,Lecture,Dr. I. U. Kariyawasam,08:55-09:45,Special,Biology
Botany,Wednesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Biostatistics and Computer Applications,PBL 387 2.0,PBL,PBL 387 2.0 Biostatistics and Computer Applications,3,NFC4,Lecture,Dr. C. Wickramarachchi,15:00-17:00,Special,Biology
Botany,Wednesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Biostatistics and Computer Applications,PBT 387 2.0,PBT,PBT 387 2.0 Biostatistics and Computer Applications,3,NFC4,Lecture,Dr. C. Wickramarachchi,15:00-17:00,Special,Biology
Botany,Wednesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Biostatistics and Computer Applications,MBL 387 2.0,MBL,MBL 387 2.0 Biostatistics and Computer Applications,3,NFC4,Lecture,Dr. C. Wickramarachchi,15:00-17:00,Special,Biology
Botany,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Advanced Phytotaxonomy,PBL 390 2.0,PBL,PBL 390 2.0  Advanced Phytotaxonomy,3,B3,Lecture,Dr. I. U. Kariyawasam,08:00-09:45,Special,Biology
Botany,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Advanced Phytotaxonomy,PBT 390 2.0,PBT,PBT 390 2.0  Advanced Phytotaxonomy,3,B3,Lecture,Dr. I. U. Kariyawasam,08:00-09:45,Special,Biology
Botany,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Fundamentals of GIS,PBL 384 1.0,PBL,PBL 384 1.0 Fundamentals of GIS,3,F3,Lecture,Dr. Daham Jayawardana,10:15-12:00,Special,Biology
Botany,Friday,1970-01-01T13:00:00Z,1970-01-01T17:00:00Z,Practicals,PBT P,PBT,PBT P Practicals,3,P,Practicals,NA,13:00-17:00,Special,Biology
Botany,Friday,1970-01-01T13:00:00Z,1970-01-01T17:00:00Z,Practicals,PBL P,PBL,PBL P Practicals,3,P,Practicals,NA,13:00-17:00,Special,Biology
Botany,Friday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,Practicals,MBL P,MBL,MBL P Practicals,3,P,Practicals,NA,08:55-12:00,Special,Biology
Botany,Friday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Advanced Mycology,MBL 393 1.0,MBL,MBL 393 1.0  Advanced Mycology,3,B2,Lecture,Dr. Dimuthu Manamgoda,13:00-15:00,Special,Biology
Botany,Monday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Microbial Enzymes in Biotechnology,MBL 485 1.0,MBL,MBL 485 1.0 Microbial Enzymes in Biotechnology,4,SLH - Botany,Lecture,Dr. R.Wimalasekara,08:00-09:45,Special,Biology
Botany,Monday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Introduction to Palynology,PBT 484 2.0,PBT,PBT 484 2.0  Introduction to Palynology,4,B3,Lecture,Dr. R.Wimalasekara,10:15-12:00,Special,Biology
Botany,Monday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Advanced Applied Microbiology,PBL 492 2.0,PBL,PBL 492 2.0 Advanced Applied Microbiology,4,SLH - Botany,Lecture,Dr. Anusha Ekanayaka,13:00-15:00,Special,Biology
Botany,Monday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Viral Genetics,PBT 495 1.0,PBT,PBT 495 1.0  Viral Genetics,4,B2,Lecture,Dr. Anusha Ekanayaka,15:00-16:00,Special,Biology
Botany,Monday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,Laboratory Management for Microbiologist,MBL 497 1.0,MBL,MBL 497 1.0 Laboratory Management for Microbiologist,4,B3,Lecture,Mrs. C.B.Wijerathna,16:00-17:00,Special,Biology
Botany,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Molecular Diagnosis of Plant Diseases,PBT 499 2.0,PBT,PBT 499 2.0 Molecular Diagnosis of Plant Diseases,4,B3,Lecture,Dr. Dimuthu Manamgoda,08:00-09:45,Special,Biology
Botany,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Molecular Diagnosis of Plant Diseases,MBL 499 2.0,MBL,MBL 499 2.0 Molecular Diagnosis of Plant Diseases,4,B3,Lecture,Dr. Dimuthu Manamgoda,08:00-09:45,Special,Biology
Botany,Tuesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Cell Signaling,PBT 486 1.0,PBT,PBT 486 1.0 Cell Signaling,4,B3,Lecture,Dr. R.Wimalasekara,08:00-08:50,Special,Biology
Botany,Tuesday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Plant Developmental Genetics,PBT 490 1.0,PBT,PBT 490 1.0 Plant Developmental Genetics,4,B3,Lecture,Dr. R.Wimalasekara,08:55-09:45,Special,Biology
Botany,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Environmental Microbiology,MBL 493 2.0,MBL,MBL 493 2.0 Environmental Microbiology,4,B2,Lecture,Dr. Anusha Ekanayaka,10:15-12:00,Special,Biology
Botany,Saturday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,Plant Quarantine,MBL 496 2.0,MBL,MBL 496 2.0  Plant Quarantine,4,B2,Lecture,Ms. Champika Hewage,08:55-12:00,Special,Biology
Botany,Saturday,1970-01-01T08:55:00Z,1970-01-01T12:00:00Z,Plant Quarantine,PBT 496 2.0,PBT,PBT 496 2.0  Plant Quarantine,4,B2,Lecture,Ms. Champika Hewage,08:55-12:00,Special,Biology
Botany,Saturday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Crop Protection,PBL 480 2.0,PBL,PBL 480 2.0 Crop Protection,4,B2,Lecture,Dr. Wathsala Udari,13:00-15:00,Special,Biology
Botany,Sunday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,Advanced Plant Pathology,MBL 483 2.0,MBL,MBL 483 2.0 Advanced Plant Pathology,4,B2,Lecture,Prof. Renuka Aththanayake,08:55-16:00,Special,Biology
Botany,Sunday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,Advanced Plant Pathology,PBL 482 2.0,PBL,PBL 482 2.0 Advanced Plant Pathology,4,B2,Lecture,Prof. Renuka Aththanayake,08:55-16:00,Special,Biology
Chemistry,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Organic Chemistry II,"CHE 109 
1.0",CHE,"CHE 109 
1.0 Organic Chemistry II",1,C1,Lecture,Prof. C Padumadasa,08:00-08:50,General,Physical/Biology
Chemistry,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Introduction to Analytical Chemistry,"CHE 111 
2.0",CHE,"CHE 111 
2.0  Introduction to Analytical Chemistry",1,C1,Lecture,Prof. C D Jayaweera,08:00-09:45,General,Physical/Biology
Chemistry,Tuesday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,Chemical Thermodynamics,"CHE 103 
1.0",CHE,"CHE 103 
1.0  Chemical Thermodynamics",1,C1,Lecture,Dr. Tharindu Senapathi,16:00-17:00,General,Physical/Biology
Chemistry,Tuesday,1970-01-01T17:00:00Z,1970-01-01T17:45:00Z,Tutorial,CHE T,CHE,CHE T Tutorial,1,T,Tutorial,NA,17:00-17:45,General,Physical/Biology
Chemistry,Friday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,Practicals,CHE P,CHE,CHE P Practicals,1,P,Practicals,NA,08:55-16:00,General,Physical/Biology
Chemistry,Monday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,Practicals,CHE P,CHE,CHE P Practicals,2,P,Practicals,NA,08:55-16:00,General,Physical/Biology
Chemistry,Wednesday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Organic Spectroscopy,"CHE 203 
1.0",CHE,"CHE 203 
1.0 Organic Spectroscopy",2,C1,Lecture,Prof. Asiri Perera,10:15-11:05,General,Physical/Biology
Chemistry,Wednesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Electrochemistry,"CHE 204 
1.0",CHE,"CHE 204 
1.0 Electrochemistry",2,C1,Lecture,Dr. L Palliyaguru,11:10-12:00,General,Physical/Biology
Chemistry,Thursday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Chemistry of Coordination Compounds,"CHE 202 
1.0",CHE,"CHE 202 
1.0  Chemistry of Coordination Compounds",2,C1,Lecture,Dr. Isuri Weerarathne,13:00-14:00,General,Physical/Biology
Chemistry,Thursday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Chemical Kinetics,"CHE 206 
1.0",CHE,"CHE 206 
1.0 Chemical Kinetics",2,C1,Lecture,Dr. Imalka Munaweera,14:00-15:00,General,Physical/Biology
Chemistry,Friday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,Tutorial,CHE T,CHE,CHE T Tutorial,2,T,Tutorial,NA,16:00-17:00,General,Physical/Biology
Chemistry,Monday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,Quality Control and Assurance,"CHE 333 
1.0",CHE,"CHE 333 
1.0 Quality Control and Assurance",3,C1,Lecture,Dr. Upul Kumarasinghe,16:00-17:00,General,Physical/Biology
Chemistry,Tuesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Industrial Organic Chemistry,"CHE 345 
1.0",CHE,"CHE 345 
1.0  Industrial Organic Chemistry",3,S1,Lecture,Dr. Upul Kumarasinghe,08:00-08:50,General,Physical/Biology
Chemistry,Tuesday,1970-01-01T17:00:00Z,1970-01-01T17:45:00Z,Basic Chemical Engineering,"CHE 312 
1.0",CHE,"CHE 312 
1.0 Basic Chemical Engineering",3,C1,Lecture,VL,17:00-17:45,General,Physical/Biology
Chemistry,Wednesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Introduction to Molecular Modeling and Designing,"CHE 340 
1.0",CHE,"CHE 340 
1.0  Introduction to Molecular Modeling and Designing",3,C1,Lecture,Dr. R Jayakody,08:00-08:50,General,Physical/Biology
Chemistry,Wednesday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,Practicals,CHE P,CHE,CHE P Practicals,3,P,Practicals,NA,08:55-16:00,General,Physical/Biology
Chemistry,Thursday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Structure and Function of Biomolecules,"CHE 330 
1.0",CHE,"CHE 330 
1.0 Structure and Function of Biomolecules",3,C1,Lecture,Prof. P Godakumbura,08:00-08:50,General,Physical/Biology
Chemistry,Thursday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Industrial Utilization of Plant Materials,"CHE 302 
1.0",CHE,"CHE 302 
1.0 Industrial Utilization of Plant Materials",3,C1,Lecture,Prof. P Godakumbura,08:55-09:45,General,Physical/Biology
