Department,Day,Starting.Time,Ending.Time,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,Lecturer.in.charge,Lecture.Time,Degree.Type,Stream
Forestry and Environmental Science,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Forest Pathology and Entomology,EMF 318 1.0,EMF,EMF 318 1.0 Forest Pathology and Entomology,3,F1,Lecture,Dr. Wathsala Udari,13:00-15:00,General,Biology
Forestry and Environmental Science,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Forest Pathology and Entomology,EMF 318 1.0,EMF,EMF 318 1.0 Forest Pathology and Entomology,3,F1,Lecture,Dr. Wathsala Udari,13:00-15:00,Special,Biology
Forestry and Environmental Science,Thursday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Agroforestry and Social Forestry,EMF 311 1.0,EMF,EMF 311 1.0 Agroforestry and Social Forestry,3,F1,Lecture,Ms. Nileththi Shilpa,15:00-17:00,General,Biology
Forestry and Environmental Science,Thursday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Agroforestry and Social Forestry,EMF 311 1.0,EMF,EMF 311 1.0 Agroforestry and Social Forestry,3,F1,Lecture,Ms. Nileththi Shilpa,15:00-17:00,Special,Biology
Forestry and Environmental Science,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Environmental Microbiology,EMF 353 1.0,EMF,EMF 353 1.0 Environmental Microbiology,3,SP - Forestry,Lecture,Snr. Prof. M. M. Pathmalal,11:10-12:00,Special,Biology
Forestry and Environmental Science,Tuesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Research Methodology,EMF 357 1.0,EMF,EMF 357 1.0 Research Methodology,3,SP - Forestry,Lecture,Prof. Upul Subasinghe,15:00-17:00,Special,Biology
Forestry and Environmental Science,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Urban Forestry,EMF 371 1.0,EMF,EMF 371 1.0 Urban Forestry,3,F1,Lecture,Dr. Thilak Chandrathilake,13:00-15:00,Special,Biology
Forestry and Environmental Science,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Cleaner Production and Green Technology,EMF 369 1.0,EMF,EMF 369 1.0 Cleaner Production and Green Technology,3,F1,Lecture,Dr. Chaamila Pathirana,13:00-15:00,Special,Biology
Forestry and Environmental Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Indigenous Knowledge in Natural Resource Management,EMF 361 1.0,EMF,EMF 361 1.0 Indigenous Knowledge in Natural Resource Management,3,SP - Forestry,Lecture,Prof. Danister Perera,08:00-09:45,Special,Biology
Forestry and Environmental Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Green Business Development,EMF 362 1.0,EMF,EMF 362 1.0 Green Business Development,3,SP - Forestry,Lecture,Snr. Prof. Rohini Samarasinghe,08:00-09:45,Special,Biology
Forestry and Environmental Science,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Advanced Silviculture,EMF 358 1.0,EMF,EMF 358 1.0 Advanced Silviculture,3,F1,Lecture,Ms. Nileththi Shilpa,10:15-12:00,Special,Biology
Forestry and Environmental Science,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Forestry for Rural Development,EMF 459 1.0,EMF,EMF 459 1.0 Forestry for Rural Development,4,SP - Forestry,Lecture,Ms. Nileththi Shilpa,13:00-15:00,Special,Biology
